feature_names,coef,coef_as_percent,pvalues,confidence_lower,confidence_upper,std_error,rsquared,adj_rsquared,year
WorkStat8_2,-0.05212912550771029,-5.079370781509773,0.6555850611871537,-0.2812211790242699,0.17696292800884936,0.11687412354433574,0.15879715511396153,0.1555204657629219,2018/19
WorkStat8_3,0.010545198279735208,1.060099483923671,0.9110981115754645,-0.17457967156903853,0.19567006812850896,0.09444372503418458,0.15879715511396153,0.1555204657629219,2018/19
WorkStat8_4,-0.08972576430802802,-8.5818147808427,0.442895408661591,-0.31892963161961285,0.13947810300355684,0.1169311667245471,0.15879715511396153,0.1555204657629219,2018/19
WorkStat8_5,-1.0794438383947038,-66.02155518315095,8.595861980828664e-09,-1.4467584853086617,-0.7121291914807458,0.18739007645222786,0.15879715511396153,0.1555204657629219,2018/19
WorkStat8_6,0.6141574790435014,84.80988814081105,2.593679799634744e-05,0.3280802199833606,0.9002347381036422,0.14594582572984366,0.15879715511396153,0.1555204657629219,2018/19
WorkStat8_7,-0.046372761088657115,-4.531397394713221,0.7298753161175682,-0.30961694710925136,0.21687142493193712,0.13429725320906916,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_1,0.3626587502068127,43.71453499994136,0.00032258973689634204,0.16505717214686597,0.5602603282667594,0.10080887089811066,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_2,-0.08685377144085579,-8.31888501949174,0.4563528471497044,-0.31540749947712626,0.14169995659541468,0.11659949019182693,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_3,0.18316398227784098,20.1011336508677,0.002767296695611574,0.0632106508124695,0.30311731374321244,0.06119566465113162,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_4,-0.04784923911531552,-4.672250679717371,0.7074356945695836,-0.29775442175753375,0.2020559435269027,0.1274921968796494,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_5,0.08917888582301575,9.327621044956835,0.3553796117478049,-0.09995472716157058,0.2783124988076021,0.09648883455815419,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_6,-0.11526105089201655,-10.886651765057398,0.5881423087321234,-0.5324569735751288,0.3019348717910956,0.21283762165209577,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_7,0.1617805080842083,17.560217782639032,0.16330618721154236,-0.06568566129281928,0.38924667746123587,0.1160446587904275,0.15879715511396153,0.1555204657629219,2018/19
HHLiv9_8,0.054278640317332504,5.577874369750746,0.6539543800151232,-0.18305800957938884,0.29161529021405386,0.12108020560225641,0.15879715511396153,0.1555204657629219,2018/19
const,5.735405761286143,30863.858462319833,7.490311551574218e-155,5.318962513914907,6.151849008657378,0.2124485017507827,0.15793496969465537,0.15386493098380072,2019/20
Disab2_POP,0.3657458419981916,44.15888047598799,9.056247659264217e-06,0.20430693415411058,0.5271847498422726,0.08235805073622296,0.15793496969465537,0.15386493098380072,2019/20
Educ6,-0.2031926676996889,-18.387901387597662,8.493518690316653e-20,-0.24683539514807537,-0.15954994025130245,0.02226433521795623,0.15793496969465537,0.15386493098380072,2019/20
NSSEC5,-0.2860115051536464,-24.874602739521766,5.17261155721177e-12,-0.3671535226738727,-0.20486948763342008,0.041394596166523204,0.15793496969465537,0.15386493098380072,2019/20
Motiva_POP,-0.6213446936585044,-46.27784467412689,9.028971044264833e-120,-0.6729580696265762,-0.5697313176904326,0.026330561160334675,0.15793496969465537,0.15386493098380072,2019/20
motivd_POP,-0.005020684158449822,-0.5008101590248004,0.8529605919107551,-0.05811879198971381,0.04807742367281417,0.02708799704584356,0.15793496969465537,0.15386493098380072,2019/20
Gend3_1,0.07800825304922704,8.113158126542498,0.13461131408011975,-0.0241863067835629,0.18020281288201698,0.05213454957093524,0.15793496969465537,0.15386493098380072,2019/20
Gend3_2,0.4233622991558976,52.70874582523981,0.3802212061983633,-0.5223368397009451,1.3690614380127404,0.4824483682359712,0.15793496969465537,0.15386493098380072,2019/20
Age9_1,0.05014574417041653,5.142432417560627,0.7067960912394881,-0.21115941672295105,0.3114509050637841,0.13330481471838018,0.15793496969465537,0.15386493098380072,2019/20
Age9_2,0.03504457746930373,3.566587513438413,0.8050114362923942,-0.24321410924923187,0.3133032641878393,0.14195365506742152,0.15793496969465537,0.15386493098380072,2019/20
Age9_3,0.14227506282676042,15.289372313372795,0.327110558335167,-0.14230529101015185,0.42685541666367266,0.14517865323066242,0.15793496969465537,0.15386493098380072,2019/20
Age9_4,0.040438527741494465,4.126729868252865,0.7880281597381185,-0.2543698934269398,0.33524694890992873,0.15039650126663,0.15793496969465537,0.15386493098380072,2019/20
Age9_5,-0.20638612058098213,-18.648110075830193,0.23795937202260709,-0.5491824165070596,0.13641017534509534,0.1748775131663794,0.15793496969465537,0.15386493098380072,2019/20
Age9_6,0.2730365292762447,31.394824152637746,0.2723891481908104,-0.21456292167723,0.7606359802297195,0.24874883543789456,0.15793496969465537,0.15386493098380072,2019/20
