LCA_Class,t,MEMS_actual,MEMS_bayesian,period
21,7,999.7906839622641,878.2196053155019,forecast
21,8,,878.2196371988964,forecast
21,9,,878.2196690822909,forecast
21,10,,878.2197009656854,forecast
22,0,477.797134935305,,train
22,1,512.1106471816283,,train
22,2,587.7808988764045,,train
22,3,503.257326007326,,train
22,4,497.7044419134396,,train
22,5,578.1246882793017,,train
22,6,599.4347575057736,,train
22,7,599.4347575057736,579.8761911707521,forecast
22,8,,590.6948855813266,forecast
22,9,,601.513579991901,forecast
22,10,,612.3322744024755,forecast
23,0,827.6944444444445,,train
23,1,942.8482905982906,,train
23,2,849.8694225721785,,train
23,3,915.975,,train
23,4,814.3798309178744,,train
23,5,941.3710843373494,,train
23,6,957.8154897494305,,train
23,7,957.8154897494305,910.0873510225206,forecast
23,8,,914.3965615417376,forecast
23,9,,918.7057720609546,forecast
23,10,,923.0149825801716,forecast
24,0,278.75892857142856,,train
24,1,266.6539408866995,,train
24,2,278.3787878787879,,train
24,3,237.7020202020202,,train
24,4,322.88497652582157,,train
24,5,230.7188940092166,,train
24,6,297.2916666666667,,train
24,7,297.2916666666667,273.20107491162474,forecast
24,8,,273.2017288273652,forecast
24,9,,273.2023827431056,forecast
24,10,,273.2030366588461,forecast
25,0,885.5599078341014,,train
25,1,997.286312849162,,train
25,2,844.9931693989071,,train
25,3,638.72,,train
25,4,840.5947136563876,,train
25,5,964.5581081081081,,train
25,6,960.116028708134,,train
25,7,960.116028708134,875.9778925232588,forecast
25,8,,875.9784999199735,forecast
25,9,,875.9791073166881,forecast
25,10,,875.9797147134028,forecast
26,0,773.9960422163589,,train
26,1,840.8398692810457,,train
26,2,804.9883720930233,,train
26,3,686.9406779661017,,train
26,4,666.1364247311828,,train
26,5,783.76108033241,,train
26,6,784.7846858638743,,train
26,7,784.7846858638743,763.0581424337324,forecast
26,8,,763.0567083105942,forecast
26,9,,763.055274187456,forecast
26,10,,763.0538400643178,forecast
