LCA_Class,t,MEMS_actual,MEMS_sarima,period
2,10,863.3363363363363,,train
2,11,728.8859223300971,,train
2,12,601.1173708920188,,train
2,13,672.6515957446809,,train
2,14,843.9447115384615,,train
2,15,652.7074074074075,,train
2,16,510.3400621118012,,train
2,17,696.1707089552239,,train
2,18,730.45703125,,train
2,19,628.4651162790698,,train
2,20,732.5355960264901,,train
2,21,793.3165064102565,,train
2,22,914.8726708074535,,train
2,23,652.1072916666667,,train
2,24,649.6448275862069,,train
2,25,763.8994932432432,,train
2,26,952.4078125,,train
2,27,647.6484899328859,,train
2,28,647.6484899328859,738.5602811707764,forecast
2,29,,766.2234277802274,forecast
2,30,,1016.006157764677,forecast
2,31,,655.0159131432388,forecast
2,32,,662.6787350411072,forecast
2,33,,781.3731752347802,forecast
2,34,,971.837888373874,forecast
2,35,,667.9327873194309,forecast
2,36,,759.2161789876869,forecast
2,37,,787.0504661887325,forecast
2,38,,1036.902216662144,forecast
2,39,,675.9474440087004,forecast
2,40,,683.6294765266956,forecast
2,41,,802.3244462653195,forecast
2,42,,992.795547229666,forecast
2,43,,688.8880987656524,forecast
3,0,522.908,,train
3,1,634.7735849056604,,train
3,2,671.2557339449542,,train
3,3,501.3240291262136,,train
3,4,548.9626288659794,,train
3,5,660.5533980582525,,train
3,6,613.9450261780105,,train
3,7,530.3112745098039,,train
3,8,611.6286407766991,,train
3,9,615.4602803738318,,train
3,10,647.0551470588235,,train
3,11,546.4791666666666,,train
3,12,603.8732876712329,,train
3,13,655.5236111111111,,train
3,14,662.8318965517242,,train
3,15,514.5285087719299,,train
3,16,506.38646788990826,,train
3,17,576.3954802259886,,train
3,18,768.5934210526316,,train
3,19,550.8300561797753,,train
3,20,571.2526041666666,,train
3,21,655.1191176470588,,train
3,22,647.8894230769231,,train
3,23,507.8670212765957,,train
3,24,483.8118131868132,,train
3,25,712.5489949748744,,train
3,26,779.1163793103449,,train
3,27,585.0364583333334,,train
3,28,585.0364583333334,553.4875288165824,forecast
3,29,,685.446859048697,forecast
3,30,,715.8004736588558,forecast
3,31,,551.5465335075507,forecast
3,32,,527.2698763734061,forecast
3,33,,711.5545865135466,forecast
3,34,,761.3864094601837,forecast
3,35,,581.1390120885003,forecast
3,36,,552.9620100325557,forecast
3,37,,709.1772176170862,forecast
3,38,,748.5600969185969,forecast
3,39,,576.8922859992849,forecast
3,40,,550.8075985010738,forecast
3,41,,722.0805059385659,forecast
3,42,,767.0686522624654,forecast
3,43,,590.7983786820228,forecast
4,0,518.4080882352941,,train
4,1,660.844262295082,,train
4,2,658.7106299212599,,train
4,3,603.8552631578947,,train
4,4,523.625,,train
4,5,643.2478632478633,,train
4,6,708.40625,,train
4,7,694.4590517241379,,train
4,8,413.4917355371901,,train
4,9,655.3446428571428,,train
4,10,639.0934579439253,,train
4,11,527.8617647058824,,train
4,12,494.11267605633805,,train
4,13,583.1528925619834,,train
4,14,779.2816901408451,,train
4,15,458.02830188679246,,train
4,16,412.78483606557376,,train
4,17,498.00219298245617,,train
4,18,530.8848039215686,,train
4,19,420.3700980392157,,train
4,20,570.7283653846154,,train
4,21,547.9725,,train
4,22,829.4690082644628,,train
4,23,631.0901162790698,,train
4,24,476.2228260869565,,train
4,25,615.6177884615385,,train
4,26,611.7175925925926,,train
4,27,668.075,,train
4,28,668.075,637.6696996635235,forecast
4,29,,714.4799091237561,forecast
4,30,,910.9064091217721,forecast
4,31,,798.0587669609138,forecast
4,32,,613.298934569309,forecast
4,33,,770.4539158401014,forecast
4,34,,771.3489724219079,forecast
4,35,,819.9834023961863,forecast
4,36,,771.2931185433133,forecast
4,37,,857.8310355715004,forecast
4,38,,1035.1662041140248,forecast
4,39,,937.7262726254652,forecast
4,40,,764.8254453065817,forecast
4,41,,915.848600812797,forecast
4,42,,932.5619025698925,forecast
4,43,,968.0624642978863,forecast
