Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
15,3.9%,"55–64 (61%), 45–54 (34%), 65–74 (5%)","Male (76%), Female (24%), Other (0%)","White British (66%), Asian (excl. Chinese) (14%), White Other (10%)","No disability (95%), Disability (5%)","Level 4 or above (84%), Level 3 and equivalents (9%), Level 2 and equivalents (5%)","NS SEC 1–2: Higher social groups (89%), NS SEC 3–5: Middle social groups (10%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (15%), Third least deprived decile (13%), Fifth most deprived decile (12%)","Working full time (80%), Working part time (10%), Not working-retired (7%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (48%), Couple, no children (31%), Single person living alone (10%)","Strongly agree (48%), Agree (39%), Neither agree nor disagree (11%)","Disagree (45%), Strongly disagree (31%), Neither agree nor disagree (18%)"
16,1.8%,"16–24 (84%), 25–34 (14%), 35–44 (2%)","Female (53%), Male (46%), Other (1%)","White British (33%), Asian (excl. Chinese) (24%), Black (17%)","No disability (87%), Disability (13%)","Level 3 and equivalents (38%), Level 4 or above (31%), Level 2 and equivalents (23%)","NS SEC 6–8: Lower social groups (47%), NS SEC 1–2: Higher social groups (27%), NS SEC 3–5: Middle social groups (24%)","Second most deprived decile (25%), Third most deprived decile (17%), Fourth most deprived decile (14%)","Working part time (42%), Unemployed (30%), Working full time (18%)","None (63%), 1 child (23%), 2 children (10%)","Living with parents (72%), Other/complex household (16%), Houseshare (5%)","Agree (40%), Strongly agree (38%), Neither agree nor disagree (14%)","Disagree (36%), Strongly disagree (33%), Neither agree nor disagree (17%)"
17,6.9%,"45–54 (42%), 55–64 (29%), 35–44 (27%)","Male (51%), Female (49%), Other (0%)","White British (70%), White Other (20%), Asian (excl. Chinese) (4%)","No disability (90%), Disability (10%)","Level 4 or above (89%), Level 3 and equivalents (7%), Level 2 and equivalents (3%)","NS SEC 1–2: Higher social groups (88%), NS SEC 3–5: Middle social groups (12%), NS SEC 9: Students and other / unclassified (0%)","Third most deprived decile (16%), Second most deprived decile (15%), Fifth most deprived decile (13%)","Working full time (80%), Working part time (11%), Other (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (56%), Couple, no children (37%), Houseshare (5%)","Agree (38%), Strongly agree (35%), Neither agree nor disagree (16%)","Disagree (43%), Strongly disagree (38%), Neither agree nor disagree (15%)"
18,2.7%,"25–34 (53%), 16–24 (28%), 35–44 (13%)","Female (60%), Male (40%), Other (0%)","Asian (excl. Chinese) (36%), White British (35%), Black (10%)","No disability (91%), Disability (9%)","Level 4 or above (83%), Level 3 and equivalents (13%), Level 2 and equivalents (3%)","NS SEC 1–2: Higher social groups (78%), NS SEC 3–5: Middle social groups (19%), NS SEC 6–8: Lower social groups (3%)","Second most deprived decile (15%), Third most deprived decile (15%), Fourth most deprived decile (14%)","Working full time (84%), Working part time (7%), Unemployed (5%)","None (91%), 1 child (7%), 2 children (2%)","Living with parents (85%), Other/complex household (13%), Multi-generational household (2%)","Agree (42%), Strongly agree (36%), Neither agree nor disagree (13%)","Disagree (38%), Strongly disagree (35%), Neither agree nor disagree (15%)"
19,3.8%,"55–64 (43%), 45–54 (32%), 35–44 (10%)","Male (63%), Female (37%), Other (0%)","White British (68%), Asian (excl. Chinese) (10%), White Other (10%)","No disability (94%), Disability (6%)","Level 2 and equivalents (40%), Level 3 and equivalents (26%), Level 4 or above (11%)","NS SEC 3–5: Middle social groups (60%), NS SEC 6–8: Lower social groups (21%), NS SEC 1–2: Higher social groups (16%)","Second most deprived decile (19%), Third most deprived decile (16%), Fourth most deprived decile (13%)","Working full time (75%), Working part time (15%), Other (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (33%), Single person living alone (28%), Couple with adult children (20%)","Agree (39%), Neither agree nor disagree (27%), Strongly agree (24%)","Disagree (43%), Neither agree nor disagree (26%), Strongly disagree (25%)"
20,3.3%,"16–24 (100%), 75–84 (0%), 25–34 (0%)","Female (56%), Male (43%), Other (0%)","Asian (excl. Chinese) (30%), White British (29%), Black (17%)","No disability (92%), Disability (8%)","Level 2 and equivalents (46%), Level 3 and equivalents (36%), Level 4 or above (10%)","NS SEC 9: Students and other / unclassified (96%), NS SEC 6–8: Lower social groups (2%), NS SEC 1–2: Higher social groups (1%)","Second most deprived decile (20%), Third most deprived decile (15%), Fourth most deprived decile (12%)","Student (99%), Other (1%), Unemployed (0%)","None (49%), 1 child (33%), 2 children (13%)","Living with parents (84%), Other/complex household (12%), Multi-generational household (2%)","Agree (41%), Strongly agree (37%), Neither agree nor disagree (15%)","Disagree (39%), Strongly disagree (34%), Neither agree nor disagree (16%)"
21,3.6%,"55–64 (61%), 45–54 (36%), 35–44 (2%)","Female (98%), Male (2%), Other (0%)","White British (74%), White Other (11%), Asian (excl. Chinese) (9%)","No disability (89%), Disability (11%)","Level 4 or above (61%), Level 2 and equivalents (20%), Level 3 and equivalents (14%)","NS SEC 1–2: Higher social groups (63%), NS SEC 3–5: Middle social groups (30%), NS SEC 6–8: Lower social groups (5%)","Second least deprived decile (15%), Third least deprived decile (14%), Fourth least deprived decile (13%)","Working part time (48%), Working full time (29%), Not working-looking after house/children (14%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (44%), Couple, no children (25%), Lone parent family (14%)","Agree (44%), Strongly agree (28%), Neither agree nor disagree (18%)","Disagree (49%), Strongly disagree (31%), Neither agree nor disagree (16%)"
22,7.2%,"25–34 (62%), 35–44 (31%), 45–54 (6%)","Male (60%), Female (40%), Other (0%)","White British (56%), White Other (23%), Asian (excl. Chinese) (11%)","No disability (97%), Disability (3%)","Level 4 or above (96%), Level 3 and equivalents (2%), Level 2 and equivalents (1%)","NS SEC 1–2: Higher social groups (96%), NS SEC 3–5: Middle social groups (3%), NS SEC 9: Students and other / unclassified (0%)","Third most deprived decile (16%), Second most deprived decile (16%), Fourth most deprived decile (14%)","Working full time (98%), Unemployed (1%), Other (0%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (62%), Single person living alone (30%), Houseshare (6%)","Strongly agree (69%), Agree (25%), Neither agree nor disagree (3%)","Disagree (38%), Strongly disagree (38%), Neither agree nor disagree (14%)"
23,5.9%,"65–74 (72%), 55–64 (28%), 16–24 (0%)","Male (60%), Female (40%), Other (0%)","White British (86%), White Other (6%), Asian (excl. Chinese) (5%)","No disability (91%), Disability (9%)","Level 4 or above (84%), Level 2 and equivalents (6%), Level 3 and equivalents (6%)","NS SEC 1–2: Higher social groups (84%), NS SEC 3–5: Middle social groups (14%), NS SEC 9: Students and other / unclassified (1%)","Second least deprived decile (20%), Third least deprived decile (15%), Fifth least deprived decile (13%)","Not working-retired (74%), Working part time (19%), Working full time (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (67%), Single person living alone (18%), Couple with adult children (10%)","Agree (41%), Strongly agree (38%), Neither agree nor disagree (15%)","Disagree (43%), Strongly disagree (30%), Neither agree nor disagree (21%)"
24,2.0%,"55–64 (40%), 45–54 (32%), 35–44 (14%)","Female (60%), Male (38%), Other (2%)","White British (63%), White Other (13%), Asian (excl. Chinese) (8%)","Disability (98%), No disability (2%)","Level 4 or above (36%), Level 2 and equivalents (22%), No qualifications (17%)","NS SEC 1–2: Higher social groups (40%), NS SEC 3–5: Middle social groups (31%), NS SEC 6–8: Lower social groups (24%)","Second most deprived decile (26%), Third most deprived decile (19%), Most deprived decile (12%)","Not working-long term sick or disabled (68%), Working full time (12%), Working part time (9%)","None (100%), 1 child (0%), 2 children (0%)","Single person living alone (51%), Couple, no children (16%), Lone parent family (11%)","Neither agree nor disagree (28%), Agree (26%), Disagree (19%)","Strongly disagree (36%), Disagree (35%), Neither agree nor disagree (19%)"
25,4.2%,"65–74 (71%), 55–64 (28%), 45–54 (0%)","Female (67%), Male (33%), Other (0%)","White British (73%), White Other (15%), Black (4%)","No disability (77%), Disability (23%)","Level 4 or above (86%), Level 3 and equivalents (7%), Level 2 and equivalents (4%)","NS SEC 1–2: Higher social groups (85%), NS SEC 3–5: Middle social groups (13%), NS SEC 9: Students and other / unclassified (2%)","Third most deprived decile (16%), Second most deprived decile (14%), Fourth most deprived decile (13%)","Not working-retired (71%), Working part time (19%), Other (6%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (55%), Couple, no children (28%), Couple with adult children (5%)","Agree (44%), Strongly agree (22%), Neither agree nor disagree (21%)","Disagree (48%), Strongly disagree (33%), Neither agree nor disagree (16%)"
26,5.6%,"75–84 (84%), 85+ (16%), 65–74 (0%)","Male (51%), Female (49%), Other (0%)","White British (80%), White Other (8%), Asian (excl. Chinese) (6%)","No disability (68%), Disability (32%)","Level 4 or above (51%), No qualifications (16%), Level 2 and equivalents (13%)","Not applicable (75+) (100%), NS SEC 9: Students and other / unclassified (0%), NS SEC 6–8: Lower social groups (0%)","Second least deprived decile (13%), Fifth least deprived decile (12%), Third least deprived decile (12%)","Not working-retired (87%), Working part time (6%), Other (3%)","None (99%), 1 child (1%), 2 children (0%)","Couple, no children (44%), Single person living alone (42%), Lone parent family (4%)","Agree (42%), Neither agree nor disagree (23%), Strongly agree (21%)","Disagree (42%), Neither agree nor disagree (26%), Strongly disagree (25%)"
27,1.6%,"35–44 (54%), 25–34 (34%), 45–54 (10%)","Female (97%), Male (3%), Other (0%)","Asian (excl. Chinese) (51%), White Other (19%), Other ethnic group (9%)","No disability (92%), Disability (8%)","Level 4 or above (50%), Level 3 and equivalents (13%), No qualifications (13%)","NS SEC 6–8: Lower social groups (55%), NS SEC 1–2: Higher social groups (22%), NS SEC 3–5: Middle social groups (20%)","Second most deprived decile (25%), Third most deprived decile (22%), Most deprived decile (13%)","Not working-looking after house/children (56%), Working part time (23%), Unemployed (17%)","2 children (38%), 1 child (32%), 3 or more children (30%)","Couple with children (70%), Lone parent family (17%), Other/complex household (8%)","Agree (50%), Strongly agree (27%), Neither agree nor disagree (18%)","Disagree (45%), Strongly disagree (26%), Neither agree nor disagree (17%)"
