Class,Size,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
10,4.7%,"25–34 (65%), 35–44 (29%), 45–54 (5%)","Male (67%), Female (33%), Other (0%)","White British (66%), White Other (17%), Asian (excl. Chinese) (11%)","No disability (97%), Disability (3%)","Level 4 or above (95%), Level 3 and equivalents (3%), Level 2 and equivalents (1%)","NS SEC 1–2: Higher social groups (97%), NS SEC 3–5: Middle social groups (2%), NS SEC 9: Students and other / unclassified (0%)","Third most deprived decile (15%), Second most deprived decile (14%), Fourth most deprived decile (14%)","Working full time (99%), Unemployed (1%), Not working-looking after house/children (0%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (68%), Single person living alone (24%), Houseshare (4%)","Strongly agree (76%), Agree (19%), Disagree (2%)","Disagree (38%), Strongly disagree (35%), Neither agree nor disagree (16%)"
11,5.8%,"25–34 (77%), 16–24 (18%), 35–44 (5%)","Female (63%), Male (36%), Other (0%)","White British (59%), White Other (25%), Mixed (5%)","No disability (92%), Disability (8%)","Level 4 or above (96%), Level 3 and equivalents (4%), Another type of qualification (0%)","NS SEC 1–2: Higher social groups (89%), NS SEC 3–5: Middle social groups (9%), NS SEC 6–8: Lower social groups (1%)","Second most deprived decile (22%), Third most deprived decile (20%), Fourth most deprived decile (14%)","Working full time (92%), Working part time (5%), Unemployed (3%)","None (100%), 3 or more children (0%), 2 children (0%)","Houseshare (51%), Couple, no children (34%), Single person living alone (11%)","Strongly agree (43%), Agree (40%), Neither agree nor disagree (10%)","Disagree (43%), Strongly disagree (31%), Neither agree nor disagree (14%)"
12,4.0%,"55–64 (60%), 45–54 (38%), 35–44 (1%)","Female (100%), Male (0%), Other (0%)","White British (70%), White Other (15%), Asian (excl. Chinese) (8%)","No disability (90%), Disability (10%)","Level 4 or above (78%), Level 3 and equivalents (11%), Level 2 and equivalents (10%)","NS SEC 1–2: Higher social groups (79%), NS SEC 3–5: Middle social groups (18%), NS SEC 6–8: Lower social groups (2%)","Second least deprived decile (16%), Third least deprived decile (14%), Fourth least deprived decile (13%)","Working full time (42%), Working part time (39%), Not working-looking after house/children (10%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (42%), Couple, no children (25%), Single person living alone (15%)","Agree (43%), Strongly agree (33%), Neither agree nor disagree (16%)","Disagree (47%), Strongly disagree (33%), Neither agree nor disagree (15%)"
13,1.7%,"55–64 (33%), 45–54 (25%), 35–44 (18%)","Female (56%), Male (44%), Other (0%)","White British (42%), Asian (excl. Chinese) (21%), Black (14%)","No disability (59%), Disability (41%)","Level 4 or above (43%), Level 2 and equivalents (19%), No qualifications (15%)","NS SEC 6–8: Lower social groups (91%), NS SEC 3–5: Middle social groups (5%), NS SEC 1–2: Higher social groups (4%)","Second most deprived decile (25%), Third most deprived decile (19%), Most deprived decile (14%)","Unemployed (73%), Working part time (15%), Not working-looking after house/children (5%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (47%), Couple, no children (18%), Living with parents (10%)","Agree (44%), Strongly agree (24%), Neither agree nor disagree (19%)","Disagree (43%), Strongly disagree (26%), Neither agree nor disagree (19%)"
14,2.0%,"55–64 (40%), 45–54 (32%), 35–44 (14%)","Female (61%), Male (37%), Other (2%)","White British (63%), White Other (13%), Asian (excl. Chinese) (8%)","Disability (98%), No disability (2%)","Level 4 or above (36%), Level 2 and equivalents (22%), No qualifications (18%)","NS SEC 1–2: Higher social groups (40%), NS SEC 3–5: Middle social groups (31%), NS SEC 6–8: Lower social groups (24%)","Second most deprived decile (26%), Third most deprived decile (19%), Most deprived decile (12%)","Not working-long term sick or disabled (70%), Working full time (9%), Working part time (9%)","None (98%), 1 child (2%), 2 children (0%)","Single person living alone (49%), Couple, no children (15%), Lone parent family (13%)","Neither agree nor disagree (28%), Agree (26%), Disagree (20%)","Strongly disagree (36%), Disagree (35%), Neither agree nor disagree (19%)"
15,5.1%,"45–54 (41%), 55–64 (32%), 35–44 (23%)","Male (56%), Female (44%), Other (0%)","White British (84%), White Other (12%), Mixed (2%)","No disability (90%), Disability (10%)","Level 4 or above (83%), Level 3 and equivalents (10%), Level 2 and equivalents (6%)","NS SEC 1–2: Higher social groups (87%), NS SEC 3–5: Middle social groups (13%), NS SEC 9: Students and other / unclassified (0%)","Third most deprived decile (16%), Second most deprived decile (15%), Fifth most deprived decile (13%)","Working full time (80%), Working part time (12%), Other (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (56%), Couple, no children (38%), Houseshare (5%)","Agree (38%), Strongly agree (32%), Neither agree nor disagree (17%)","Disagree (44%), Strongly disagree (35%), Neither agree nor disagree (16%)"
16,3.2%,"35–44 (45%), 25–34 (31%), 45–54 (18%)","Female (95%), Male (5%), Other (0%)","Asian (excl. Chinese) (28%), White British (27%), Black (17%)","No disability (81%), Disability (19%)","Level 4 or above (34%), Level 2 and equivalents (22%), Level 3 and equivalents (19%)","NS SEC 6–8: Lower social groups (49%), NS SEC 3–5: Middle social groups (22%), NS SEC 1–2: Higher social groups (17%)","Second most deprived decile (30%), Third most deprived decile (20%), Most deprived decile (15%)","Not working-looking after house/children (35%), Working part time (30%), Unemployed (18%)","1 child (39%), 2 children (37%), 3 or more children (24%)","Couple with children (50%), Lone parent family (38%), Other/complex household (7%)","Agree (45%), Strongly agree (25%), Neither agree nor disagree (21%)","Disagree (43%), Strongly disagree (29%), Neither agree nor disagree (17%)"
17,4.6%,"25–34 (59%), 35–44 (31%), 45–54 (7%)","Female (63%), Male (36%), Other (0%)","White British (52%), White Other (22%), Asian (excl. Chinese) (13%)","No disability (91%), Disability (9%)","Level 4 or above (94%), Level 3 and equivalents (4%), Level 2 and equivalents (1%)","NS SEC 1–2: Higher social groups (92%), NS SEC 3–5: Middle social groups (7%), NS SEC 6–8: Lower social groups (1%)","Third most deprived decile (18%), Second most deprived decile (15%), Fourth most deprived decile (14%)","Working full time (93%), Working part time (3%), Unemployed (2%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (68%), Single person living alone (27%), Houseshare (2%)","Agree (65%), Neither agree nor disagree (20%), Disagree (12%)","Disagree (51%), Neither agree nor disagree (20%), Agree (17%)"
18,0.7%,"55–64 (46%), 65–74 (37%), 45–54 (13%)","Male (51%), Female (49%), Other (0%)","White British (61%), Asian (excl. Chinese) (16%), White Other (9%)","No disability (71%), Disability (29%)","Level 4 or above (50%), Level 2 and equivalents (22%), Level 3 and equivalents (11%)","NS SEC 1–2: Higher social groups (57%), NS SEC 3–5: Middle social groups (28%), NS SEC 6–8: Lower social groups (12%)","Fifth most deprived decile (14%), Third most deprived decile (12%), Fourth most deprived decile (12%)","Not working-retired (41%), Working part time (23%), Working full time (16%)","1 child (72%), 2 children (22%), 3 or more children (6%)","Couple with children (38%), Multi-generational household (30%), Other/complex household (17%)","Agree (42%), Strongly agree (24%), Neither agree nor disagree (20%)","Disagree (40%), Strongly disagree (28%), Neither agree nor disagree (22%)"
19,3.9%,"75–84 (91%), 85+ (9%), 65–74 (0%)","Male (58%), Female (42%), Other (0%)","White British (85%), White Other (7%), Asian (excl. Chinese) (5%)","No disability (83%), Disability (17%)","Level 4 or above (60%), Level 2 and equivalents (13%), No qualifications (9%)","Not applicable (75+) (100%), NS SEC 9: Students and other / unclassified (0%), NS SEC 6–8: Lower social groups (0%)","Second least deprived decile (15%), Third least deprived decile (14%), Fourth least deprived decile (13%)","Not working-retired (86%), Working part time (8%), Other (2%)","None (100%), 1 child (0%), 2 children (0%)","Couple, no children (55%), Single person living alone (36%), Couple with adult children (3%)","Agree (47%), Strongly agree (26%), Neither agree nor disagree (21%)","Disagree (44%), Neither agree nor disagree (27%), Strongly disagree (22%)"
20,6.1%,"35–44 (43%), 25–34 (33%), 45–54 (18%)","Female (61%), Male (39%), Other (0%)","White Other (44%), White British (22%), Asian (excl. Chinese) (13%)","No disability (94%), Disability (6%)","Level 4 or above (97%), Another type of qualification (2%), Level 3 and equivalents (1%)","NS SEC 1–2: Higher social groups (92%), NS SEC 3–5: Middle social groups (8%), NS SEC 9: Students and other / unclassified (1%)","Second most deprived decile (22%), Third most deprived decile (20%), Fourth most deprived decile (14%)","Working full time (88%), Working part time (5%), Unemployed (4%)","None (100%), 3 or more children (0%), 2 children (0%)","Single person living alone (49%), Couple, no children (39%), Houseshare (9%)","Strongly agree (48%), Agree (36%), Neither agree nor disagree (10%)","Strongly disagree (48%), Disagree (39%), Neither agree nor disagree (10%)"
21,3.3%,"16–24 (100%), 25–34 (0%), 85+ (0%)","Female (56%), Male (43%), Other (0%)","Asian (excl. Chinese) (30%), White British (29%), Black (17%)","No disability (92%), Disability (8%)","Level 2 and equivalents (45%), Level 3 and equivalents (36%), Level 4 or above (10%)","NS SEC 9: Students and other / unclassified (96%), NS SEC 6–8: Lower social groups (2%), NS SEC 1–2: Higher social groups (1%)","Second most deprived decile (20%), Third most deprived decile (15%), Fourth most deprived decile (12%)","Student (99%), Other (1%), Unemployed (0%)","None (49%), 1 child (33%), 2 children (13%)","Living with parents (83%), Other/complex household (12%), Multi-generational household (2%)","Agree (41%), Strongly agree (37%), Neither agree nor disagree (15%)","Disagree (39%), Strongly disagree (34%), Neither agree nor disagree (16%)"
22,3.5%,"65–74 (86%), 55–64 (13%), 16–24 (0%)","Female (57%), Male (43%), Other (0%)","White British (79%), Asian (excl. Chinese) (9%), White Other (6%)","No disability (71%), Disability (29%)","No qualifications (31%), Level 2 and equivalents (30%), Level 3 and equivalents (13%)","NS SEC 3–5: Middle social groups (53%), NS SEC 6–8: Lower social groups (22%), NS SEC 1–2: Higher social groups (20%)","Second most deprived decile (16%), Third most deprived decile (14%), Fourth most deprived decile (12%)","Not working-retired (83%), Working part time (9%), Other (3%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple, no children (44%), Single person living alone (36%), Couple with adult children (9%)","Agree (42%), Neither agree nor disagree (26%), Strongly agree (18%)","Disagree (44%), Neither agree nor disagree (28%), Strongly disagree (20%)"
23,3.4%,"55–64 (61%), 45–54 (31%), 65–74 (7%)","Male (96%), Female (4%), Other (0%)","White British (65%), Asian (excl. Chinese) (15%), White Other (10%)","No disability (95%), Disability (5%)","Level 4 or above (83%), Level 3 and equivalents (9%), Level 2 and equivalents (5%)","NS SEC 1–2: Higher social groups (85%), NS SEC 3–5: Middle social groups (13%), NS SEC 6–8: Lower social groups (2%)","Second least deprived decile (15%), Third least deprived decile (13%), Fifth most deprived decile (13%)","Working full time (78%), Working part time (10%), Not working-retired (7%)","None (100%), 3 or more children (0%), 2 children (0%)","Couple with adult children (48%), Couple, no children (31%), Single person living alone (11%)","Strongly agree (49%), Agree (38%), Neither agree nor disagree (10%)","Disagree (44%), Strongly disagree (31%), Neither agree nor disagree (19%)"
24,1.7%,"75–84 (68%), 85+ (32%), 65–74 (0%)","Female (64%), Male (36%), Other (0%)","White British (70%), White Other (11%), Asian (excl. Chinese) (8%)","Disability (63%), No disability (37%)","No qualifications (32%), Level 4 or above (31%), Level 2 and equivalents (13%)","Not applicable (75+) (100%), NS SEC 9: Students and other / unclassified (0%), NS SEC 6–8: Lower social groups (0%)","Second most deprived decile (16%), Fifth most deprived decile (13%), Third most deprived decile (13%)","Not working-retired (88%), Other (6%), Not working-long term sick or disabled (3%)","None (96%), 1 child (2%), 2 children (1%)","Single person living alone (55%), Couple, no children (20%), Lone parent family (12%)","Agree (31%), Neither agree nor disagree (29%), Disagree (18%)","Disagree (38%), Strongly disagree (32%), Neither agree nor disagree (22%)"
25,1.6%,"16–24 (87%), 25–34 (12%), 35–44 (1%)","Female (54%), Male (45%), Other (1%)","White British (34%), Asian (excl. Chinese) (24%), Black (17%)","No disability (88%), Disability (12%)","Level 3 and equivalents (39%), Level 4 or above (29%), Level 2 and equivalents (24%)","NS SEC 6–8: Lower social groups (47%), NS SEC 1–2: Higher social groups (28%), NS SEC 3–5: Middle social groups (23%)","Second most deprived decile (25%), Third most deprived decile (17%), Fourth most deprived decile (13%)","Working part time (43%), Unemployed (30%), Working full time (17%)","None (59%), 1 child (26%), 2 children (10%)","Living with parents (74%), Other/complex household (16%), Houseshare (3%)","Agree (39%), Strongly agree (38%), Neither agree nor disagree (14%)","Disagree (36%), Strongly disagree (33%), Neither agree nor disagree (17%)"
26,2.6%,"25–34 (53%), 16–24 (29%), 35–44 (12%)","Female (62%), Male (38%), Other (0%)","Asian (excl. Chinese) (37%), White British (33%), Black (11%)","No disability (90%), Disability (10%)","Level 4 or above (84%), Level 3 and equivalents (12%), Level 2 and equivalents (3%)","NS SEC 1–2: Higher social groups (79%), NS SEC 3–5: Middle social groups (18%), NS SEC 6–8: Lower social groups (3%)","Second most deprived decile (16%), Third most deprived decile (15%), Fourth most deprived decile (14%)","Working full time (83%), Working part time (8%), Unemployed (6%)","None (90%), 1 child (7%), 2 children (2%)","Living with parents (82%), Other/complex household (13%), Single person living alone (3%)","Agree (42%), Strongly agree (36%), Neither agree nor disagree (13%)","Disagree (38%), Strongly disagree (36%), Neither agree nor disagree (15%)"
