LA_Name,t,MEMS_actual,MEMS_bayesian,period
Camden,10,,850.4236962136754,forecast
Croydon,0,473.96785714285716,,train
Croydon,1,621.5128205128206,,train
Croydon,2,594.5804480651731,,train
Croydon,3,643.9723926380368,,train
Croydon,4,600.0265392781316,,train
Croydon,5,567.4090909090909,,train
Croydon,6,644.8166666666667,,train
Croydon,7,,626.5099741961019,forecast
Croydon,8,,635.0558314875283,forecast
Croydon,9,,643.6016887789546,forecast
Croydon,10,,652.1475460703808,forecast
Ealing,0,598.39,,train
Ealing,1,608.5055066079295,,train
Ealing,2,658.2747093023256,,train
Ealing,3,762.589397089397,,train
Ealing,4,570.9118811881189,,train
Ealing,5,585.9583333333334,,train
Ealing,6,779.8739711934156,,train
Ealing,7,,652.1564178772123,forecast
Ealing,8,,652.1775295352825,forecast
Ealing,9,,652.1986411933527,forecast
Ealing,10,,652.2197528514229,forecast
Enfield,0,650.5375,,train
Enfield,1,600.2804678998912,,train
Enfield,2,740.0046391752577,,train
Enfield,3,639.7705410821643,,train
Enfield,4,592.010847107438,,train
Enfield,5,586.7484817813765,,train
Enfield,6,700.2330508474577,,train
Enfield,7,,644.2261921025026,forecast
Enfield,8,,644.2261141319287,forecast
Enfield,9,,644.226036161355,forecast
Enfield,10,,644.2259581907811,forecast
Greenwich,0,783.4642857142857,,train
Greenwich,1,703.2704402515724,,train
Greenwich,2,709.945054945055,,train
Greenwich,3,745.9081836327346,,train
Greenwich,4,659.822662601626,,train
Greenwich,5,700.7790354330708,,train
Greenwich,6,693.9915780141844,,train
Greenwich,7,,679.5084310228008,forecast
Greenwich,8,,670.9147801859107,forecast
Greenwich,9,,662.3211293490206,forecast
Greenwich,10,,653.7274785121305,forecast
Hackney,0,638.0865384615385,,train
Hackney,1,745.460088691796,,train
Hackney,2,814.7065217391304,,train
Hackney,3,759.5750988142292,,train
Hackney,4,744.9549019607844,,train
Hackney,5,735.7174348697395,,train
Hackney,6,762.3254901960785,,train
Hackney,7,,750.5566999515125,forecast
Hackney,8,,752.4520865560587,forecast
Hackney,9,,754.3474731606047,forecast
Hackney,10,,756.2428597651509,forecast
Hammersmith and Fulham,0,724.5856164383562,,train
Hammersmith and Fulham,1,774.0806613226453,,train
Hammersmith and Fulham,2,777.6409574468086,,train
Hammersmith and Fulham,3,917.3918786692759,,train
Hammersmith and Fulham,4,744.6960167714884,,train
Hammersmith and Fulham,5,765.4599589322382,,train
Hammersmith and Fulham,6,827.8186003683242,,train
Hammersmith and Fulham,7,,790.2483509805967,forecast
Hammersmith and Fulham,8,,790.2506640847052,forecast
Hammersmith and Fulham,9,,790.2529771888138,forecast
Hammersmith and Fulham,10,,790.2552902929224,forecast
Haringey,0,526.6464968152866,,train
Haringey,1,687.5076086956522,,train
Haringey,2,739.2224576271186,,train
Haringey,3,772.448224852071,,train
Haringey,4,676.5226377952756,,train
Haringey,5,671.4974173553719,,train
Haringey,6,706.016129032258,,train
Haringey,7,,702.0990534728578,forecast
Haringey,8,,706.9144964063211,forecast
Haringey,9,,711.7299393397843,forecast
Haringey,10,,716.5453822732476,forecast
Harrow,0,569.6204819277109,,train
Harrow,1,551.8702928870293,,train
Harrow,2,543.4014373716633,,train
Harrow,3,656.125751503006,,train
Harrow,4,549.7896281800391,,train
Harrow,5,586.0019801980199,,train
Harrow,6,619.0680501930502,,train
Harrow,7,,588.1078768776357,forecast
Harrow,8,,589.5677881591689,forecast
Harrow,9,,591.0276994407022,forecast
Harrow,10,,592.4876107222354,forecast
Havering,0,450.73591549295776,,train
Havering,1,649.9375,,train
Havering,2,660.3386454183267,,train
Havering,3,684.8623046875,,train
Havering,4,580.2705696202531,,train
Havering,5,597.7965235173824,,train
Havering,6,685.4569471624266,,train
Havering,7,,648.9040002835693,forecast
Havering,8,,657.2229144295028,forecast
Havering,9,,665.5418285754363,forecast
Havering,10,,673.8607427213699,forecast
Hillingdon,0,466.291095890411,,train
Hillingdon,1,562.1735829959514,,train
Hillingdon,2,614.6858037578288,,train
Hillingdon,3,593.9640858208955,,train
Hillingdon,4,678.3246951219512,,train
Hillingdon,5,539.1738900634249,,train
Hillingdon,6,621.342987804878,,train
Hillingdon,7,,624.56003111806,forecast
Hillingdon,8,,635.1301767027414,forecast
Hillingdon,9,,645.7003222874229,forecast
Hillingdon,10,,656.2704678721043,forecast
Hounslow,0,612.2930107526881,,train
Hounslow,1,607.0278993435448,,train
Hounslow,2,653.9537422037422,,train
Hounslow,3,690.9202425373135,,train
Hounslow,4,599.7515337423313,,train
Hounslow,5,591.1757117437722,,train
Hounslow,6,677.1277890466531,,train
Hounslow,7,,633.1822874345252,forecast
Hounslow,8,,633.1832189585119,forecast
Hounslow,9,,633.1841504824987,forecast
Hounslow,10,,633.1850820064856,forecast
Islington,0,688.4888888888889,,train
Islington,1,738.3177312775331,,train
Islington,2,815.7907662082515,,train
Islington,3,828.1040772532189,,train
Islington,4,696.7528248587571,,train
Islington,5,820.2093137254902,,train
Islington,6,672.7518348623853,,train
Islington,7,,751.4868014407906,forecast
Islington,8,,751.4865219054695,forecast
Islington,9,,751.4862423701485,forecast
Islington,10,,751.4859628348273,forecast
Kensington and Chelsea,0,681.1907894736842,,train
Kensington and Chelsea,1,655.0219387755102,,train
Kensington and Chelsea,2,784.0673791821562,,train
Kensington and Chelsea,3,718.0727370689655,,train
Kensington and Chelsea,4,693.570202020202,,train
Kensington and Chelsea,5,692.5462427745665,,train
Kensington and Chelsea,6,783.1770216962525,,train
Kensington and Chelsea,7,,729.0688116235863,forecast
Kensington and Chelsea,8,,732.4915034226493,forecast
Kensington and Chelsea,9,,735.9141952217125,forecast
Kensington and Chelsea,10,,739.3368870207755,forecast
Kingston,0,502.22727272727275,,train
Kingston,1,676.7738347457627,,train
Kingston,2,724.5678053830228,,train
Kingston,3,707.1084024896265,,train
Kingston,4,756.7361641221374,,train
Kingston,5,691.5525751072961,,train
Kingston,6,840.7374497991968,,train
Kingston,7,,840.261772909337,forecast
Kingston,8,,875.33780526616,forecast
Kingston,9,,910.413837622983,forecast
Kingston,10,,945.489869979806,forecast
Lambeth,0,735.777027027027,,train
Lambeth,1,767.0492105263157,,train
Lambeth,2,833.4168388429752,,train
Lambeth,3,804.4528601694915,,train
Lambeth,4,747.6317365269462,,train
Lambeth,5,723.1951923076923,,train
Lambeth,6,822.8410852713179,,train
Lambeth,7,,776.3408142744678,forecast
Lambeth,8,,776.3415910333788,forecast
Lambeth,9,,776.3423677922898,forecast
Lambeth,10,,776.3431445512008,forecast
Lewisham,0,597.3915662650602,,train
Lewisham,1,652.5983870967742,,train
Lewisham,2,724.5402892561983,,train
Lewisham,3,705.2108490566038,,train
Lewisham,4,703.8154875717017,,train
Lewisham,5,710.8734309623431,,train
Lewisham,6,827.7935606060606,,train
Lewisham,7,,809.1056386584647,forecast
Lewisham,8,,835.5883493654114,forecast
Lewisham,9,,862.0710600723583,forecast
Lewisham,10,,888.5537707793051,forecast
Merton,0,636.766447368421,,train
Merton,1,735.6476143141153,,train
Merton,2,688.3562367864694,,train
Merton,3,725.8416988416989,,train
Merton,4,632.6266990291263,,train
Merton,5,670.4658163265306,,train
Merton,6,740.3224070450098,,train
Merton,7,,690.0076447816201,forecast
Merton,8,,690.008594558762,forecast
Merton,9,,690.0095443359037,forecast
Merton,10,,690.0104941130455,forecast
Newham,0,724.2991803278688,,train
Newham,1,588.871387283237,,train
Newham,2,680.6291322314049,,train
Newham,3,658.1481092436975,,train
Newham,4,511.5743761996161,,train
Newham,5,569.4609683794466,,train
Newham,6,641.3605769230769,,train
Newham,7,,594.8880185157495,forecast
Newham,8,,587.3834613379603,forecast
Newham,9,,579.8789041601709,forecast
Newham,10,,572.3743469823817,forecast
Redbridge,0,559.7093023255813,,train
Redbridge,1,585.9251904243744,,train
Redbridge,2,579.0,,train
Redbridge,3,611.4070841889117,,train
Redbridge,4,565.6561904761904,,train
Redbridge,5,599.0303605313093,,train
Redbridge,6,679.2490234375,,train
Redbridge,7,,641.4736762823952,forecast
Redbridge,8,,652.5571970892845,forecast
Redbridge,9,,663.6407178961738,forecast
Redbridge,10,,674.7242387030631,forecast
Richmond,0,595.41,,train
Richmond,1,731.7576064908723,,train
Richmond,2,858.9197834645669,,train
Richmond,3,795.3775201612904,,train
Richmond,4,877.550731261426,,train
Richmond,5,767.1793598233995,,train
Richmond,6,766.3161322645291,,train
Richmond,7,,813.0629512422807,forecast
Richmond,8,,823.7390057147766,forecast
Richmond,9,,834.4150601872723,forecast
Richmond,10,,845.0911146597681,forecast
Southwark,0,797.5,,train
Southwark,1,771.7702127659575,,train
Southwark,2,767.5774714828897,,train
Southwark,3,842.257281553398,,train
Southwark,4,694.3338095238096,,train
Southwark,5,765.0747950819672,,train
Southwark,6,783.7592756183745,,train
Southwark,7,,774.6062486808885,forecast
Southwark,8,,774.6052092073107,forecast
Southwark,9,,774.6041697337329,forecast
Southwark,10,,774.6031302601551,forecast
Sutton,0,553.1,,train
Sutton,1,533.680198019802,,train
Sutton,2,603.0449260042283,,train
Sutton,3,685.2902621722847,,train
Sutton,4,693.8199588477366,,train
Sutton,5,549.5934744268078,,train
Sutton,6,630.4144869215291,,train
Sutton,7,,617.5434552166199,forecast
Sutton,8,,620.1813437924753,forecast
Sutton,9,,622.8192323683307,forecast
Sutton,10,,625.4571209441862,forecast
Tower Hamlets,0,599.219696969697,,train
Tower Hamlets,1,703.5488683127572,,train
Tower Hamlets,2,739.1118042226487,,train
Tower Hamlets,3,757.807884231537,,train
Tower Hamlets,4,685.699297188755,,train
Tower Hamlets,5,659.7630784708249,,train
Tower Hamlets,6,855.8639705882352,,train
Tower Hamlets,7,,777.1737644759039,forecast
Tower Hamlets,8,,792.8595413097207,forecast
Tower Hamlets,9,,808.5453181435377,forecast
Tower Hamlets,10,,824.2310949773546,forecast
Waltham Forest,0,881.6802325581396,,train
Waltham Forest,1,723.9838383838384,,train
Waltham Forest,2,635.7196808510638,,train
Waltham Forest,3,695.3673684210527,,train
Waltham Forest,4,671.0633462282399,,train
Waltham Forest,5,607.620983935743,,train
Waltham Forest,6,711.874,,train
Waltham Forest,7,,630.5667114393618,forecast
Waltham Forest,8,,612.2330517856996,forecast
Waltham Forest,9,,593.8993921320372,forecast
Waltham Forest,10,,575.5657324783749,forecast
Wandsworth,0,632.929347826087,,train
Wandsworth,1,768.398033126294,,train
Wandsworth,2,852.0922379032259,,train
Wandsworth,3,840.338445807771,,train
Wandsworth,4,730.7111650485436,,train
Wandsworth,5,826.751953125,,train
Wandsworth,6,904.9462365591398,,train
Wandsworth,7,,888.2894611416293,forecast
Wandsworth,8,,911.9272757343202,forecast
Wandsworth,9,,935.5650903270111,forecast
Wandsworth,10,,959.202904919702,forecast
Westminster,0,775.55,,train
Westminster,1,688.6362745098039,,train
Westminster,2,786.0690524193549,,train
Westminster,3,752.7525773195877,,train
Westminster,4,633.7143584521385,,train
Westminster,5,689.1801181102362,,train
Westminster,6,830.9505988023952,,train
Westminster,7,,736.6933235538299,forecast
Westminster,8,,736.6933337418047,forecast
Westminster,9,,736.6933439297794,forecast
Westminster,10,,736.6933541177542,forecast
