LondInOut,LA_2023,DURATION_SPORTCOUNT_A01,year
1.0,241.0,210.0,2022 - 2023
1.0,241.0,130.0,2022 - 2023
1.0,241.0,7.5,2022 - 2023
1.0,241.0,0.0,2022 - 2023
2.0,255.0,450.0,2022 - 2023
2.0,255.0,281.5,2022 - 2023
2.0,255.0,75.0,2022 - 2023
2.0,255.0,127.5,2022 - 2023
1.0,272.0,2775.0,2022 - 2023
1.0,272.0,532.5,2022 - 2023
1.0,272.0,123.75,2022 - 2023
1.0,272.0,540.0,2022 - 2023
1.0,272.0,420.0,2022 - 2023
1.0,272.0,120.0,2022 - 2023
1.0,272.0,0.0,2022 - 2023
1.0,272.0,225.0,2022 - 2023
1.0,272.0,345.0,2022 - 2023
2.0,279.0,555.0,2022 - 2023
1.0,280.0,332.5,2022 - 2023
1.0,280.0,840.0,2022 - 2023
1.0,293.0,50.0,2022 - 2023
1.0,293.0,45.0,2022 - 2023
1.0,293.0,0.0,2022 - 2023
1.0,293.0,0.0,2022 - 2023
1.0,293.0,390.0,2022 - 2023
1.0,59.0,592.5,2022 - 2023
1.0,59.0,462.5,2022 - 2023
1.0,59.0,240.0,2022 - 2023
1.0,59.0,240.0,2022 - 2023
1.0,59.0,90.0,2022 - 2023
1.0,59.0,90.0,2022 - 2023
1.0,59.0,60.0,2022 - 2023
1.0,59.0,60.0,2022 - 2023
1.0,59.0,225.0,2022 - 2023
1.0,59.0,180.0,2022 - 2023
1.0,59.0,90.0,2022 - 2023
1.0,59.0,150.0,2022 - 2023
1.0,59.0,60.0,2022 - 2023
1.0,59.0,60.0,2022 - 2023
1.0,59.0,0.0,2022 - 2023
1.0,59.0,0.0,2022 - 2023
1.0,59.0,0.0,2022 - 2023
1.0,59.0,0.0,2022 - 2023
1.0,59.0,112.5,2022 - 2023
1.0,59.0,112.5,2022 - 2023
1.0,59.0,820.0,2022 - 2023
1.0,59.0,3176.25,2022 - 2023
1.0,59.0,141.25,2022 - 2023
1.0,59.0,1455.0,2022 - 2023
2.0,8.0,1320.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,300.0,2022 - 2023
2.0,8.0,322.5,2022 - 2023
2.0,8.0,577.5,2022 - 2023
2.0,8.0,210.0,2022 - 2023
2.0,8.0,180.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,150.0,2022 - 2023
2.0,8.0,285.0,2022 - 2023
2.0,8.0,22.5,2022 - 2023
2.0,8.0,1200.0,2022 - 2023
2.0,8.0,30.0,2022 - 2023
2.0,8.0,25.0,2022 - 2023
2.0,8.0,120.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,15.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,880.0,2022 - 2023
2.0,8.0,90.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,105.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,0.0,2022 - 2023
2.0,8.0,60.0,2022 - 2023
2.0,9.0,1920.0,2022 - 2023
2.0,9.0,520.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,30.0,2022 - 2023
2.0,9.0,45.0,2022 - 2023
2.0,9.0,440.0,2022 - 2023
2.0,9.0,232.5,2022 - 2023
2.0,9.0,81.25,2022 - 2023
2.0,9.0,285.0,2022 - 2023
2.0,9.0,1208.75,2022 - 2023
2.0,9.0,513.75,2022 - 2023
2.0,9.0,90.0,2022 - 2023
2.0,9.0,90.0,2022 - 2023
2.0,9.0,255.0,2022 - 2023
2.0,9.0,522.5,2022 - 2023
2.0,9.0,360.0,2022 - 2023
2.0,9.0,1275.0,2022 - 2023
2.0,9.0,765.0,2022 - 2023
2.0,9.0,315.0,2022 - 2023
2.0,9.0,225.0,2022 - 2023
2.0,9.0,262.5,2022 - 2023
2.0,9.0,262.5,2022 - 2023
2.0,9.0,30.0,2022 - 2023
2.0,9.0,75.0,2022 - 2023
2.0,9.0,195.0,2022 - 2023
2.0,9.0,7.5,2022 - 2023
2.0,9.0,93.75,2022 - 2023
2.0,9.0,682.5,2022 - 2023
2.0,9.0,510.0,2022 - 2023
2.0,9.0,185.0,2022 - 2023
2.0,9.0,510.0,2022 - 2023
2.0,9.0,0.0,2022 - 2023
2.0,9.0,92.5,2022 - 2023
2.0,9.0,0.0,2022 - 2023
