lad_name,lad_code,total_pop,asian,black,mixed,white,other,simpsons_index
"Herefordshire, County of",E06000019,187032,0.011858933230677103,0.0030315667907096114,0.010586423713589118,0.9690748107275761,0.005448265537448137,0.060602430554326236
Telford and Wrekin,E06000020,185543,0.054256964692820535,0.028839675978075165,0.026107155753652793,0.8819411133807258,0.00885509019472575,0.21764433119666526
Stoke-on-Trent,E06000021,258369,0.09907148303395531,0.026644063335771705,0.022680739562408802,0.8348486079986376,0.01675510606922657,0.2917075873346603
Bath and North East Somerset,E06000022,193409,0.0330336230475314,0.009544540326458437,0.02717557094033887,0.9219219374486193,0.00832432823705205,0.14806981665276264
"Bristol, City of",E06000023,472467,0.06618240004063776,0.05903057779696783,0.04469306851060497,0.8109391767044047,0.019154776947384686,0.3321485566430017
North Somerset,E06000024,216729,0.01532789797396749,0.005255411135565614,0.016772097873381044,0.9570892681643897,0.005555324852696224,0.08340540406075558
South Gloucestershire,E06000025,290424,0.03819932237005206,0.015611657438779165,0.025097788061592706,0.9119631986337218,0.009128033495854337,0.16590699229914785
Plymouth,E06000026,264695,0.022467368102910897,0.010525321596554525,0.017590056480099737,0.9396739643740909,0.009743289446343905,0.11599293387708876
Torbay,E06000027,139324,0.016178117194453216,0.0032083488846142805,0.014957939766300134,0.961227067841865,0.004428526312767363,0.07552714726225274
Swindon,E06000030,233411,0.11641696406767461,0.026232696830911995,0.027826452052388276,0.8146231325858678,0.014900754463157263,0.32115174403283564
Peterborough,E06000031,215670,0.1428154124356656,0.04057587981638615,0.035317846710251774,0.7538415171326563,0.027449343905040106,0.40767950621802584
Luton,E06000032,225261,0.36990424440981795,0.10092736869675621,0.04270601657632701,0.45191133840300807,0.034551031914090764,0.6457430807802066
Southend-on-Sea,E06000033,180685,0.054592246174281205,0.028519246201953678,0.030733043694828016,0.8748872346902067,0.011268229238730387,0.22970717286491749
Thurrock,E06000034,175993,0.06934934912184007,0.11862403618325729,0.029842095992454246,0.7669850505417829,0.015199468160665482,0.3917313635357993
Medway,E06000035,279773,0.0589191952046838,0.05619913286843262,0.0280906306183942,0.8426367090462625,0.014154332262226876,0.28234413381862433
Bracknell Forest,E06000036,124605,0.07125717266562337,0.02401990289314233,0.030841459010473096,0.8608723566470046,0.01300910878375667,0.2521238126644958
West Berkshire,E06000037,161447,0.03710195915687501,0.012573785824450128,0.023890193066455245,0.9190879979188217,0.007346064033397957,0.15311789063679926
Reading,E06000038,174223,0.1770202556493689,0.0719308013293308,0.05143982137834844,0.6708987906303989,0.028710331012552878,0.5099142633103338
Slough,E06000039,158500,0.46746372239747636,0.07565930599369085,0.03981703470031546,0.36046687697160884,0.05659305993690852,0.6410287975798346
Windsor and Maidenhead,E06000040,153497,0.13076477064698333,0.015361863749780127,0.03412444542890089,0.7983934539437253,0.02135546623061037,0.34361194688582686
Wokingham,E06000041,177502,0.12883235118477537,0.024258881590066592,0.03140246307083864,0.7991515588556749,0.016354745298644523,0.3429169255500477
Milton Keynes,E06000042,287060,0.12417264683341461,0.09702152860029262,0.04084511948721522,0.7180171392740193,0.019943565805058176,0.4575532948722546
Brighton and Hove,E06000043,277103,0.047697065712027656,0.019696647095123473,0.0477367621425968,0.8537294796519705,0.031140045398281507,0.26523450670158244
Portsmouth,E06000044,208001,0.06908620631631579,0.033990221200859615,0.02637968086691891,0.8522891716866746,0.018254719929231108,0.26664580642284297
Southampton,E06000045,248920,0.10611441426964487,0.03028683914510686,0.033380202474690666,0.8068013819701109,0.02341716214044673,0.3352313671099646
Isle of Wight,E06000046,140459,0.011839753949551115,0.003403128315024313,0.012245566321844809,0.9698132551135918,0.0026982962999878967,0.059153254452599446
County Durham,E06000047,522067,0.01500573681155867,0.003332905546606087,0.009479626178249151,0.968210976752026,0.0039707547115600105,0.062225593894788545
Cheshire East,E06000049,398772,0.023900875688363275,0.006073646093507067,0.017701844663115765,0.9442563670468338,0.008067266508180113,0.10739333616258429
Cheshire West and Chester,E06000050,357149,0.02024645176102971,0.005899498528625308,0.014814545189822736,0.9529944084961739,0.006045096024348382,0.09110092054810182
Shropshire,E06000051,323607,0.013361886485768231,0.003451717669889712,0.011931138696010903,0.9668394070585618,0.004415850089769381,0.06486925479071881
Cornwall,E06000052,570305,0.007069901193221171,0.0018551476841339282,0.01232673744750616,0.968131087751291,0.010617125923847765,0.062404100034707644
Isles of Scilly,E06000053,2055,0.00291970802919708,0.0019464720194647203,0.01119221411192214,0.9751824817518249,0.008759124087591242,0.04880482592454449
Wiltshire,E06000054,510333,0.021311574991231215,0.011337695191179093,0.017065327932937906,0.9433311190928276,0.006954282791824162,0.10920408572361107
Bedford,E06000055,185224,0.12559387552369022,0.05316805597546754,0.0463546840582214,0.756780978706863,0.018102405735757787,0.40620543269465237
Central Bedfordshire,E06000056,294251,0.03507549676976459,0.023850386234881105,0.030195309446696867,0.9024438319665864,0.008434975582071088,0.18281309322261285
Northumberland,E06000057,320566,0.010525133669821503,0.0018654504844556191,0.007976516536376285,0.9764822220697142,0.0031506772396324,0.04629466005439231
"Bournemouth, Christchurch and Poole",E06000058,400195,0.03386099276602656,0.010577343545021801,0.027718986993840504,0.9133297517460238,0.014512924949087319,0.16359135031743366
Dorset,E06000059,379580,0.011341482691395753,0.0028505189946783287,0.01168660098003056,0.9705859107434532,0.0035354865904420676,0.05767715887022562
Buckinghamshire,E06000060,553078,0.12352326434969389,0.02579925435472031,0.03538379758370429,0.7994604739295361,0.015833209782345346,0.3434366486000412
North Northamptonshire,E06000061,359523,0.03539690089368413,0.030643380256617798,0.022738461795211988,0.9030409737346429,0.008180283319843237,0.1817410877299538
West Northamptonshire,E06000062,425723,0.05276435616586372,0.048531556904372095,0.028459820117776112,0.8591455007129049,0.011098766099083206,0.25579647533755323
Cambridge,E07000008,145674,0.1484547688674712,0.024444993615882038,0.050867004407100784,0.7452942872441204,0.03093894586542554,0.41835537878028806
East Cambridgeshire,E07000009,87763,0.01923361781160626,0.00803299796041612,0.021455510864487312,0.9447261374383282,0.0065517359251620845,0.10655479994041284
Fenland,E07000010,102461,0.012024087213671543,0.00794448619474727,0.013780853202681995,0.9591942299997072,0.007056343389191986,0.07949903170402828
Huntingdonshire,E07000011,180832,0.03176981950097328,0.014632365952928685,0.022435188462219077,0.9241505928154309,0.007012033268448062,0.1441697479424897
South Cambridgeshire,E07000012,162117,0.05797664649604915,0.012453968430207813,0.028319053523072842,0.8900053664945687,0.011244965056101458,0.20344563671072424
Allerdale,E07000026,96153,0.005616049421234907,0.0008736076877476522,0.006520857383544975,0.9845454640000832,0.002444021507389265,0.03058943129322178
Barrow-in-Furness,E07000027,67406,0.014078865382903599,0.003708868646708008,0.008159511022757618,0.970418063673857,0.003634691273773848,0.05799702293758746
Carlisle,E07000028,110025,0.014796637127925472,0.0030629402408543513,0.008843444671665531,0.9680345376050897,0.005262440354464894,0.06257491213834043
Copeland,E07000029,67076,0.008154928737551434,0.0027580654779652933,0.006708807919375038,0.9796946746973583,0.002683523167750015,0.04007202518145114
Eden,E07000030,54737,0.007947092460310211,0.0015894184920620421,0.006723057529641741,0.9810365931636735,0.0027038383543124393,0.03744901009970414
South Lakeland,E07000031,104450,0.007774054571565343,0.0024030636668262327,0.00989947343226424,0.9767831498324557,0.0031402584968884635,0.045720606766254446
Amber Valley,E07000032,126204,0.009571804380209818,0.0030189217457449844,0.012265855281924504,0.9727663148553136,0.0023771037368070743,0.053468861527240286
