id,lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2,status,total_pop,asian,black,mixed,white,other,simpsons_index,crime_count,pop_per_km2,lifesat,lone,worthw,indev,happy,comm1,comm2,anxious,motivex2a,motivex2b,motivex2c,motivex2d,inclus_a,inclus_b,inclus_c,VolAny,IMD10,MEMS7_ALL,MEMS7_OUT_SPORTCOUNT_A01,MEMS7_IN_SPORTCOUNT_A01,MEMS7_SPORTCOUNT_A01
122.0,E09000016,Havering,483.861339136908,2.54274807221148,558017.671299356,330,262052,0.1074214278082212,0.082300459450796,0.0371949078808786,0.7529574282966739,0.0201257765634301,0.4129538743401419,498.0,2415.3876879349154,7.056497175141243,3.481876332622601,7.2824858757062145,3.7005649717514126,7.146892655367232,3.2598870056497176,2.8947368421052637,3.3220338983050848,1.8832599118942728,2.36784140969163,2.934684684684685,2.836322869955157,2.2225705329153604,2.3121019108280256,2.2253086419753085,0.1708683473389355,6.647916666666666,676.5942708333333,419.4347222222222,166.27777777777777,612.6317708333333
201.0,E09000027,Richmond upon Thames,394.614799968804,3.35555230517535,2361497.94343337,421,195277,0.0894472979408737,0.018880871787256,0.054599363980397,0.8045545558360687,0.0325179104554043,0.3402961552076063,475.0,3571.8948552858346,7.319526627218935,3.592156862745098,7.396449704142012,3.822485207100592,7.366863905325443,3.63905325443787,3.0705128205128207,3.562130177514793,1.5856031128404668,2.0811881188118813,2.756972111553785,2.536345776031434,1.946091644204852,2.041322314049587,1.9513513513513516,0.2041343669250646,8.409961685823754,979.3912835249042,677.0369822485208,245.50443786982248,898.7916666666666
112.0,E09000013,Hammersmith and Fulham,312.686277956319,4.58633483423224,207794.770758787,201,183156,0.1054074122605866,0.1225894865579069,0.0672541440083863,0.6315872807879622,0.073161676385158,0.5650828511950758,517.0,12282.761231271712,6.856353591160221,3.300829875518672,7.05524861878453,3.6629834254143647,7.077348066298343,3.2444444444444445,2.8983050847457625,3.9502762430939216,1.616326530612245,2.1101871101871104,2.9411764705882355,2.5302713987473906,2.1922005571030643,2.297994269340974,2.153409090909091,0.1586021505376344,4.886868686868687,943.6686868686868,725.4546703296703,274.217032967033,912.6378787878788
142.0,E09000022,Lambeth,323.101067614768,5.60562836007231,485443.754001494,231,317650,0.0725672910436014,0.2397135211711002,0.0806862899417598,0.5502219423894223,0.0568109554541161,0.6247894681073816,540.0,12830.345055498809,6.869346733668341,3.320717131474104,6.85929648241206,3.748743718592965,6.85427135678392,3.2525252525252526,2.947643979057592,3.6733668341708543,1.6653465346534653,2.15049504950495,3.005988023952096,2.676528599605523,2.1662198391420917,2.2288828337874658,2.152354570637119,0.1909547738693467,4.11969111969112,773.2524131274131,503.7881773399015,200.30172413793105,727.0912162162163
241.0,E09000028,Southwark,235.361645915534,10.2175129712082,469298.535432657,331,307640,0.0992718762189572,0.251264464959043,0.0720029905083864,0.5143024314133403,0.063158236900273,0.6533308787526385,537.0,11600.915292418938,6.651741293532338,3.283433133732535,6.824120603015075,3.7185929648241207,6.645,3.1959798994974875,2.922279792746114,4.19,1.689108910891089,2.0504032258064515,2.9613034623217924,2.610997963340122,2.195767195767196,2.3278688524590163,2.2849604221635884,0.1759036144578313,4.153696498054475,856.7018482490272,549.5796568627451,201.8235294117647,811.2641050583658
293.0,E09000033,Westminster,341.371637624955,6.05645694599749,1022264.30338018,298,204236,0.1676589827454513,0.0805734542392134,0.0652921130456922,0.5519692904287197,0.1345061595409232,0.6383733194199177,547.0,12327.232584569818,6.688235294117647,3.277292576419214,6.847953216374269,3.807017543859649,6.783625730994152,3.239766081871345,2.880239520958084,3.988304093567252,1.6773504273504274,2.198675496688742,2.847191011235955,2.5698447893569845,2.206997084548105,2.347560975609756,2.18018018018018,0.1181318681318681,5.307216494845361,778.4082474226805,551.2861271676301,218.2471098265896,766.2206185567011
17.0,E09000004,Bexley,579.3820312465,2.60562071982407,372013.475449409,337,246475,0.0991337863880718,0.1220204888933969,0.0354599857997768,0.7187909524292525,0.0245947864895019,0.456760745277044,495.0,4268.804034976966,6.827586206896552,3.429175475687104,7.32183908045977,3.695402298850575,7.051724137931035,3.2471264367816093,2.863905325443787,3.5804597701149423,1.8458333333333332,2.357293868921776,2.9129511677282376,2.823404255319149,2.252840909090909,2.3284457478005867,2.318051575931232,0.1766233766233766,6.671399594320487,648.5202839756593,411.39406779661016,129.99293785310735,570.7687626774848
44.0,E09000007,Camden,336.783376417113,7.57505533345196,1343252.82525492,207,210136,0.1810351391479803,0.0899036814253626,0.0663284729889214,0.5951574218601287,0.0675752845776068,0.5959653642498566,529.0,11982.122413781628,6.66,3.265720081135903,7.005025125628141,3.715,6.8059701492537314,3.235,2.897959183673469,3.675,1.6961770623742454,2.13184584178499,3.018595041322314,2.6168032786885247,2.139473684210526,2.353099730458221,2.2255434782608696,0.1707920792079208,5.388998035363458,890.869351669941,675.8417874396135,216.90217391304347,862.1144400785855
68.0,E09000008,Croydon,475.24606588825,2.76103018354285,411573.117810143,453,390724,0.1752822964547865,0.2263515934521555,0.076127906143467,0.4836790163900861,0.0385591875595049,0.6768134127560876,523.0,4698.056908244377,6.6378378378378375,3.3618290258449304,7.1530054644808745,3.677595628415301,6.825136612021858,3.291208791208791,2.8222222222222224,3.5956284153005464,1.878727634194831,2.321285140562249,2.899193548387097,2.726,2.2891246684350133,2.4043715846994536,2.347708894878706,0.1771844660194174,5.557471264367816,616.669540229885,413.489417989418,169.63888888888889,560.9789272030652
135.0,E09000019,Islington,247.556423828778,10.4287742154526,295683.107570387,187,216590,0.0994136386721455,0.1327069578466226,0.0749388245071333,0.6221616879819013,0.0707788909921972,0.5747951469639738,537.0,16547.398014734947,6.557291666666667,3.1710794297352343,6.795811518324608,3.654450261780105,6.583333333333333,3.157068062827225,2.875675675675676,3.7916666666666665,1.694331983805668,2.1049382716049383,2.930327868852459,2.592592592592593,2.314516129032258,2.413513513513513,2.3523035230352303,0.1351351351351351,3.8500986193293887,871.155325443787,513.3341836734694,250.4719387755102,838.1311637080868
