lad_code,lad_name,avg_dist_topark_m,avg_num_park_w1000m,avg_combsize_park_w1000m2
E08000015,Wirral,453.748902140005,3.19222402707557,309205.705711301
E06000006,Halton,503.833606513509,2.96902295356914,264873.091400833
E06000007,Warrington,489.187567414804,4.09207148124524,279609.195939664
E06000008,Blackburn with Darwen,746.797056951181,1.8703790704751,411542.716370813
E06000009,Blackpool,684.424893166876,1.64284839053402,171924.976277206
E06000049,Cheshire East,1085.49519401697,2.050247475678,153898.913164049
E06000050,Cheshire West and Chester,951.646873990927,2.74528747377174,379646.898071268
E07000163,Craven,2010.50716434571,1.45584191418696,41743.5620804183
E07000164,Hambleton,2292.54891403132,1.09550673982224,21802.50212629
E07000165,Harrogate,1010.24317740023,1.56214429734351,220868.582641773
E07000166,Richmondshire,2366.59797074473,1.40641774859663,57608.1706550883
E07000167,Ryedale,2673.28895922943,1.02666659748196,44460.563364557
E07000168,Scarborough,1571.07693532729,2.78383090405347,171465.604821204
E07000169,Selby,2497.33265963399,1.2001752821181,42906.8037583324
E08000016,Barnsley,848.87556970844,2.12367370062998,323965.898265104
E08000017,Doncaster,1291.485008492,1.59911298834411,201289.5363369
E08000018,Rotherham,882.60943781153,1.59107594205205,237132.00094697
E08000019,Sheffield,561.513825600486,2.70121603281861,357491.773102525
E08000032,Bradford,730.612119439858,1.59584884918055,134993.289250456
E08000033,Calderdale,848.832746356973,1.7187324542346,111809.749262521
E08000034,Kirklees,941.402542588949,1.37188954604756,152147.190143471
E08000035,Leeds,785.532706843972,2.03740742295153,288653.65572006
E08000036,Wakefield,738.922326307894,1.84668802368307,227422.291096588
E06000010,"Kingston upon Hull, City of",887.926149429455,1.38458124813143,189294.393248447
E06000011,East Riding of Yorkshire,1697.14196444339,1.56509356378632,65870.2494800393
E06000012,North East Lincolnshire,1351.73325774954,1.69558123628209,138020.754177398
E06000013,North Lincolnshire,1783.34510477738,1.55460526938699,183012.92667152
E06000014,York,870.892501974593,2.51128187163016,153522.9332634
