serial,year,Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP
161090147879081.0,2016/17,3,0,1,1,4,1,1,4,3,2,1,3
161090147891482.0,2016/17,1,0,3,1,0,3,0,0,0,0,0,3
161090157893781.0,2016/17,5,0,0,0,0,0,6,3,0,0,1,2
161090157900481.0,2016/17,4,0,0,1,2,0,4,3,0,5,0,4
161090167908082.0,2016/17,5,1,0,1,5,1,6,3,0,0,1,3
161090167910281.0,2016/17,4,0,0,1,2,0,5,3,2,2,0,2
161090167911081.0,2016/17,3,1,0,1,1,1,2,0,0,0,1,3
161090167911781.0,2016/17,3,1,0,1,2,0,0,0,0,3,0,4
161090167913881.0,2016/17,0,0,0,0,0,0,0,0,0,0,0,4
161090167916482.0,2016/17,5,1,0,1,2,0,4,3,0,3,0,4
161090167920582.0,2016/17,4,1,0,1,5,1,6,3,0,3,2,2
161090167922782.0,2016/17,5,1,0,1,2,1,8,3,0,3,1,2
161090167925581.0,2016/17,1,1,2,1,0,0,4,1,2,4,1,3
161090167925582.0,2016/17,2,0,2,1,0,0,4,0,2,4,0,3
161090167930381.0,2016/17,4,0,0,1,2,0,3,3,0,5,0,4
161090167931081.0,2016/17,4,0,1,0,0,0,3,3,0,5,3,4
161090177935981.0,2016/17,2,1,4,1,4,2,6,4,2,4,1,3
161090177936381.0,2016/17,7,1,1,1,5,4,7,3,0,0,3,4
161090177945281.0,2016/17,2,1,2,1,0,2,1,4,2,4,0,2
161090177954381.0,2016/17,0,1,0,0,0,1,4,1,0,3,1,3
161090177954382.0,2016/17,0,0,0,1,0,0,4,0,0,3,3,2
161090177956781.0,2016/17,4,0,0,0,0,0,3,0,0,8,0,4
161090187965981.0,2016/17,1,1,2,1,0,0,3,4,0,7,0,2
161090187965982.0,2016/17,5,1,2,1,0,0,3,3,0,2,1,1
161090187971981.0,2016/17,1,1,0,1,0,0,3,0,0,0,2,1
161090187972581.0,2016/17,4,1,1,1,0,0,4,0,0,1,1,3
161090187973381.0,2016/17,4,1,0,1,1,1,3,0,0,0,1,3
161090187973782.0,2016/17,1,0,1,0,2,1,5,0,0,1,1,3
161090187980381.0,2016/17,3,1,0,1,2,2,1,7,3,8,2,3
161090187984482.0,2016/17,2,0,5,1,0,0,2,0,0,5,1,4
161090187986482.0,2016/17,4,0,0,1,0,0,7,0,0,3,0,2
161090197994282.0,2016/17,3,1,1,0,0,0,0,0,1,4,0,3
161090197995281.0,2016/17,1,0,2,1,0,3,3,6,1,4,2,2
161090197999282.0,2016/17,6,1,0,1,0,4,3,3,0,3,1,2
161090198001081.0,2016/17,5,1,1,0,1,0,0,3,0,0,2,3
161090198002181.0,2016/17,1,0,0,1,0,0,0,0,0,3,0,4
161090198002182.0,2016/17,1,1,0,1,0,0,0,0,0,3,0,0
161090198002782.0,2016/17,5,1,1,0,0,0,0,0,0,3,1,2
161090198003582.0,2016/17,2,1,2,1,0,0,2,0,0,1,0,4
161090208012682.0,2016/17,1,1,1,1,1,1,1,0,0,3,0,3
161090208013381.0,2016/17,5,1,1,0,0,0,1,3,0,0,2,4
161090208015381.0,2016/17,6,0,1,1,0,4,4,3,0,3,1,3
161090208019781.0,2016/17,2,0,2,1,0,0,4,0,3,4,0,3
161090208021281.0,2016/17,3,0,0,1,0,0,6,0,0,3,0,3
161090208022581.0,2016/17,2,0,1,1,2,0,3,0,0,3,2,2
161090208024081.0,2016/17,4,1,1,1,0,0,4,1,0,3,1,2
161090218036082.0,2016/17,1,0,0,1,0,0,4,0,0,3,0,3
161090218036382.0,2016/17,6,0,0,1,1,4,4,3,0,3,1,3
161090218038882.0,2016/17,1,1,0,1,0,0,7,0,0,0,0,4
161090228039281.0,2016/17,2,1,1,1,0,0,2,0,0,0,1,4
161090228045181.0,2016/17,1,1,1,1,0,0,1,0,1,4,1,2
161090228051881.0,2016/17,2,1,3,0,1,1,3,0,2,4,2,4
161090228052781.0,2016/17,1,1,6,1,0,0,3,0,0,3,0,3
161090228053682.0,2016/17,2,0,0,1,0,0,5,0,0,0,0,2
161090228059681.0,2016/17,4,1,6,1,0,0,3,0,0,5,1,2
161090228060381.0,2016/17,2,1,1,1,0,0,6,0,1,4,0,4
161090228064581.0,2016/17,0,1,5,0,0,0,2,0,0,3,1,2
161090228064981.0,2016/17,2,0,0,1,0,0,3,0,0,0,0,1
161090228068982.0,2016/17,2,1,0,0,0,1,4,0,0,3,1,3
161090228073782.0,2016/17,1,1,0,1,0,0,0,0,0,3,3,1
161090228082881.0,2016/17,1,1,0,1,0,0,7,0,0,3,1,3
161090228082882.0,2016/17,1,0,0,1,0,1,7,0,0,3,1,4
161090228083982.0,2016/17,1,0,0,1,0,0,4,0,0,3,1,4
161090228086781.0,2016/17,2,1,0,1,0,0,4,0,0,3,0,2
161090228087182.0,2016/17,4,1,0,1,2,0,2,3,0,3,1,3
161090238090882.0,2016/17,2,1,3,1,1,3,0,1,2,2,0,4
161090238095182.0,2016/17,3,1,0,0,0,0,3,0,1,4,3,3
161090238096381.0,2016/17,3,0,3,1,1,3,0,0,0,5,2,4
161090238099782.0,2016/17,0,0,0,1,2,3,1,6,1,7,2,3
161090238110181.0,2016/17,6,0,0,1,5,4,1,1,0,8,2,4
161090238110182.0,2016/17,6,0,0,1,5,4,1,0,0,8,3,3
161090248116981.0,2016/17,1,0,5,1,0,0,6,0,0,3,0,3
161090248116982.0,2016/17,1,1,0,1,0,1,6,0,0,3,0,3
161090248118882.0,2016/17,3,0,0,1,1,1,3,0,0,0,4,4
161090248122481.0,2016/17,6,0,0,1,0,4,7,7,0,3,0,3
161090248122782.0,2016/17,1,1,1,1,0,0,8,0,0,3,0,4
161090248123081.0,2016/17,3,1,0,1,0,0,9,1,0,3,2,2
161090258127081.0,2016/17,2,1,2,1,0,0,1,0,0,3,1,4
161090258128081.0,2016/17,0,1,1,1,0,3,2,6,0,7,1,4
161090258136281.0,2016/17,2,1,2,1,0,2,1,4,2,8,2,2
161090258136282.0,2016/17,3,0,2,1,0,1,1,1,2,4,1,3
161090258136981.0,2016/17,3,0,2,1,0,0,0,1,2,4,0,0
161090258136982.0,2016/17,2,1,2,1,0,0,0,1,2,4,0,0
161090258140282.0,2016/17,2,1,5,1,4,2,1,1,1,2,0,4
161090258141982.0,2016/17,6,0,0,1,5,4,1,3,0,0,2,2
161090258143981.0,2016/17,2,0,2,1,0,0,1,0,0,0,1,2
161090258143982.0,2016/17,1,1,2,1,0,1,1,7,0,8,1,1
161090258146381.0,2016/17,2,0,0,1,0,0,3,0,0,0,0,3
161090258147981.0,2016/17,2,1,2,1,1,2,1,4,2,4,1,3
161090258147982.0,2016/17,0,1,2,1,0,1,1,0,2,7,2,4
161090258150481.0,2016/17,2,0,1,1,0,1,0,1,0,1,1,3
161090258150482.0,2016/17,1,0,1,1,5,1,0,0,0,1,3,3
161090258152881.0,2016/17,2,0,3,1,0,0,1,0,3,4,1,4
161090258152981.0,2016/17,1,1,2,1,0,0,2,0,1,4,0,3
161090258152982.0,2016/17,2,0,2,1,0,0,2,0,1,4,1,3
161090268161982.0,2016/17,6,1,0,1,5,4,7,3,0,0,4,4
161090268167282.0,2016/17,4,1,0,1,0,0,2,3,0,0,1,3
161090268167382.0,2016/17,2,0,2,1,0,0,2,0,2,4,0,1
161090268168281.0,2016/17,1,1,2,1,1,0,1,4,3,6,0,4
161090268177281.0,2016/17,2,0,2,1,1,0,0,1,2,4,0,3
161090268177282.0,2016/17,1,1,2,1,0,0,0,1,2,4,0,3
161090268183081.0,2016/17,6,0,2,1,0,4,3,3,0,0,1,2
161090268183882.0,2016/17,2,1,2,1,0,0,2,1,2,4,0,4
161090268192181.0,2016/17,0,0,2,1,2,3,0,6,1,7,1,4
161090268192781.0,2016/17,6,0,2,1,0,4,6,3,0,6,1,2
161090268193081.0,2016/17,2,0,2,1,0,0,6,0,2,4,0,4
161090268196181.0,2016/17,3,1,0,1,0,0,4,0,0,0,0,0
161090268200482.0,2016/17,5,1,2,1,0,2,4,3,0,3,0,4
161090268202981.0,2016/17,3,1,0,1,0,0,1,1,1,4,3,3
161090268203482.0,2016/17,0,1,0,1,1,3,7,6,0,7,0,3
