Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
4.0,1.0,10.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8824157354580482,0.8982758293838204,0.015860093925772256,0.8824157354580482,0.8989523412784378,0.016536605820389627,0.8824157354580482,0.8739958458477748,-0.008419889610273401,0.8824157354580482,0.8907201144883563,0.008304379030308118,0.8824157354580482,0.8913080880835568,0.008892352625508582,0.8824157354580482,0.8734802038325754,-0.008935531625472781,0.8824157354580482,0.8817921108084538,-0.0006236246495944231
5.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,10.0,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41127105606614145,0.4973744162107636,0.08610336014462217,0.41127105606614145,0.45115398246009475,0.0398829263939533,0.41127105606614145,0.4529933008291498,0.04172224476300834,0.41127105606614145,0.39234619686392,-0.018924859202221422,,,,0.41127105606614145,0.43289514005916496,0.021624083993023513,,,,0.41127105606614145,0.4098198927881203,-0.0014511632780211392
3.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876702271118912,0.8401238486266016,0.05245362151471045,0.7876702271118912,0.8136104835478524,0.025940256435961206,0.7876702271118912,0.8147339287542285,0.02706370164233729,0.7876702271118912,0.774201921507556,-0.013468305604335207,0.7876702271118912,0.8011581743895344,0.013487947277643242,0.7876702271118912,0.8021209772245245,0.014450750112633304,0.7876702271118912,0.7733837851910518,-0.014286441920839388,0.7876702271118912,0.7866655907192087,-0.0010046363926824453
5.0,1.0,6.0,1.0,1.0,5.0,2.0,4.0,7.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.8927716198461423,0.9080036517212864,0.015232031875144103,0.8927716198461423,0.8849966414655495,-0.007774978380592823,0.8927716198461423,0.9004271455850321,0.0076555257388898346,0.8927716198461423,0.9009686978842619,0.008197078038119643,0.8927716198461423,0.8845200694006665,-0.008251550445475764,0.8927716198461423,0.8921962090901079,-0.0005754107560344002
6.0,1.0,6.0,1.0,2.0,4.0,2.0,5.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7967690698731434,0.8474103702428268,0.050641300369683395,0.7967690698731434,0.8218491398349751,0.025080069961831652,0.7967690698731434,0.8229337343420726,0.026164664468929177,,,,0.7967690698731434,0.8098185808861421,0.013049511012998671,0.7967690698731434,0.8107493553077801,0.013980285434636697,0.7967690698731434,0.7829261180223607,-0.01384295185078277,0.7967690698731434,0.7957963235675036,-0.0009727463056398156
3.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8242564603605008,0.869173062713593,0.04491660235309214,0.8242564603605008,0.8465974897331587,0.022341029372657917,0.8242564603605008,0.8475593615567504,0.02330290119624956,0.8242564603605008,0.8125565964091387,-0.011699863951362133,0.8242564603605008,0.835904496974457,0.011648036613956192,0.8242564603605008,0.836733342312442,0.012476881951941188,0.8242564603605008,0.8118436564940763,-0.012412803866424515,0.8242564603605008,0.8233861167084833,-0.0008703436520175467
6.0,1.0,9.0,1.0,1.0,4.0,1.0,4.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.9199314432972465,0.9311262710065149,0.011194827709268385,,,,0.9199314432972465,0.9139359409309784,-0.005995502366268113,0.9199314432972465,0.9258090444975158,0.005877601200269256,0.9199314432972465,0.9262238616193867,0.006292418322140225,0.9199314432972465,0.9135675805856359,-0.006363862711610602,0.9199314432972465,0.9194886345183767,-0.00044280877886981873
5.0,6.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546718775533774,0.43773615226819124,0.08306427471481381,,,,0.3546718775533774,0.3944998229897123,0.03982794543633489,0.3546718775533774,0.3368612403616601,-0.017810637191717327,0.3546718775533774,0.37379834018309305,0.019126462629715624,0.3546718775533774,0.3752166990144734,0.020544821461095986,0.3546718775533774,0.33581791769218583,-0.018853959861191594,0.3546718775533774,0.3533005765479778,-0.0013713010053996166
5.0,1.0,9.0,1.0,1.0,4.0,2.0,4.0,7.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8979601045555663,0.9119327830836415,0.013972678528075155,0.8979601045555663,0.9125273144285023,0.014567209872936027,0.8979601045555663,0.8905151995002057,-0.007444905055360551,0.8979601045555663,0.9052845000322352,0.007324395476668855,0.8979601045555663,0.9058023980711609,0.007842293515594623,0.8979601045555663,0.8900586553041508,-0.007901449251415449,0.8979601045555663,0.897409336877696,-0.000550767677870323
4.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,10.0,10.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,0.8834568478385758,0.8751009573133287,-0.0083558905252471,,,,,,,0.8834568478385758,0.8745891887778864,-0.008867659060689426,0.8834568478385758,0.8828380117375615,-0.0006188361010143195
