Age9,Educ6,IMD10,NSSEC5,Motiva_POP,motivd_POP,inclus_a,comm1,happy,lifesat,lone,worthw,Eth7_2.0,Eth7_3.0,Eth7_4.0,Eth7_5.0,Eth7_6.0,Eth7_7.0,Gend3_2.0,Gend3_3.0,HHLiv12_2.0,HHLiv12_3.0,HHLiv12_4.0,HHLiv12_5.0,HHLiv12_6.0,HHLiv12_7.0,HHLiv12_8.0,HHLiv12_9.0,HHLiv12_10.0,HHLiv12_11.0,HHLiv12_12.0,WorkStat10_2.0,WorkStat10_3.0,WorkStat10_4.0,WorkStat10_5.0,WorkStat10_6.0,WorkStat10_7.0,WorkStat10_8.0,WorkStat10_9.0,WorkStat10_10.0,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lifesat,PERTURBED_PREDS_lifesat,DIFFERENCE_lifesat,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw
4.0,1.0,10.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8824157354580482,0.8599947603533802,-0.022420975104668006,0.8824157354580482,0.8724974437474334,-0.009918291710614757,0.8824157354580482,0.8865308798928078,0.004115144434759577,0.8824157354580482,0.8870693900000494,0.004653654542001173,0.8824157354580482,0.8747783035703109,-0.007637431887737245,0.8824157354580482,0.8821105189109779,-0.000305216547070275
5.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,10.0,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41127105606614145,0.3637846558189905,-0.04748640024715095,0.41127105606614145,0.3891234737258257,-0.022147582340315775,,,,0.41127105606614145,0.422365122876336,0.011094066810194536,,,,0.41127105606614145,0.41055979723007896,-0.0007112588360624894
3.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,7.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876702271118912,0.7522553558203824,-0.035414871291508776,0.7876702271118912,0.7718266167440669,-0.015843610367824223,0.7876702271118912,0.7943283679293636,0.006658140817472402,0.7876702271118912,0.7952033742435821,0.007533147131690954,0.7876702271118912,0.7754448586826258,-0.01222536842926536,0.7876702271118912,0.7871783915510882,-0.0004918355608030112
5.0,1.0,6.0,1.0,1.0,5.0,2.0,4.0,7.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8927716198461423,0.8720389555545232,-0.02073266429161913,0.8927716198461423,0.88361163660741,-0.009159983238732239,0.8927716198461423,0.8965668176391783,0.0037951977930360536,0.8927716198461423,0.8970632287808282,0.004291608934685942,0.8927716198461423,0.8857197189725408,-0.007051900873601524,0.8927716198461423,0.892490009260746,-0.0002816105853963302
6.0,1.0,6.0,1.0,2.0,4.0,2.0,5.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7967690698731434,0.762414051831324,-0.034355018041819396,,,,0.7967690698731434,0.8032131752939486,0.006444105420805202,0.7967690698731434,0.8040597063503113,0.007290636477167878,0.7967690698731434,0.7849245393467928,-0.011844530526350594,0.7967690698731434,0.7962928598926895,-0.00047620998045394547
3.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8242564603605008,0.7933428474895469,-0.030913612870953955,0.8242564603605008,0.8104860020494937,-0.013770458311007094,0.8242564603605008,0.8300149326735481,0.005758472313047269,0.8242564603605008,0.8307704603812862,0.006514000020785393,0.8242564603605008,0.8136392264023213,-0.010617233958179484,0.8242564603605008,0.8238304177283876,-0.0004260426321132105
6.0,1.0,9.0,1.0,1.0,4.0,1.0,4.0,8.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199314432972465,0.9038847866157944,-0.01604665668145211,0.9199314432972465,0.9128651423290921,-0.007066300968154415,0.9199314432972465,0.9228484295719809,0.0029169862747343567,0.9199314432972465,0.9232295068244253,0.003298063527178763,0.9199314432972465,0.9144946439344819,-0.005436799362764644,0.9199314432972465,0.9197147472361697,-0.00021669606107677097
5.0,6.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546718775533774,0.3102763921813462,-0.04439548537203125,0.3546718775533774,0.3338438800168276,-0.020827997536549847,0.3546718775533774,0.3639435181512091,0.009271640597831698,0.3546718775533774,0.3651862248757299,0.010514347322352458,0.3546718775533774,0.338454485867326,-0.016217391686051408,0.3546718775533774,0.35399964539390033,-0.000672232159477093
5.0,1.0,9.0,1.0,1.0,4.0,2.0,4.0,7.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979601045555663,0.8780936519050941,-0.019866452650472155,0.8979601045555663,0.8891883339025533,-0.008771770653013045,0.8979601045555663,0.9015919053296356,0.003631800774069327,0.8979601045555663,0.9020668337040639,0.004106729148497634,0.8979601045555663,0.8912078447287884,-0.006752259826777851,0.8979601045555663,0.8976905587802588,-0.00026954577530746704
4.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,10.0,10.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8834568478385758,0.8612031666228491,-0.022253681215726684,0.8834568478385758,0.8736137964762861,-0.00984305136228969,,,,,,,0.8834568478385758,0.8758775271325906,-0.007579320705985215,0.8834568478385758,0.8831539758872785,-0.00030287195129730105
