Age9,Gend3,Eth7,Disab2_POP,Educ6,NSSEC5,IMD10,WorkStat8,Child4,HHLiv9,Motiva_POP,motivd_POP,inclus_a,inclus_b,inclus_c,anxious,comm1,comm2,happy,indev,indevtry,lone,worthw,PREDS_Motiva_POP,PERTURBED_PREDS_Motiva_POP,DIFFERENCE_Motiva_POP,PREDS_motivd_POP,PERTURBED_PREDS_motivd_POP,DIFFERENCE_motivd_POP,PREDS_indev,PERTURBED_PREDS_indev,DIFFERENCE_indev,PREDS_indevtry,PERTURBED_PREDS_indevtry,DIFFERENCE_indevtry,PREDS_inclus_a,PERTURBED_PREDS_inclus_a,DIFFERENCE_inclus_a,PREDS_inclus_b,PERTURBED_PREDS_inclus_b,DIFFERENCE_inclus_b,PREDS_inclus_c,PERTURBED_PREDS_inclus_c,DIFFERENCE_inclus_c,PREDS_comm1,PERTURBED_PREDS_comm1,DIFFERENCE_comm1,PREDS_comm2,PERTURBED_PREDS_comm2,DIFFERENCE_comm2,PREDS_anxious,PERTURBED_PREDS_anxious,DIFFERENCE_anxious,PREDS_happy,PERTURBED_PREDS_happy,DIFFERENCE_happy,PREDS_lone,PERTURBED_PREDS_lone,DIFFERENCE_lone,PREDS_worthw,PERTURBED_PREDS_worthw,DIFFERENCE_worthw,labels
1,0,0,0,0,0,7,0,2,4,1.0,5.0,2.0,3.0,2.0,0.0,4.0,4.0,7.0,5.0,4.0,5.0,5.0,,,,,,,,,,0.8522237,0.8522237,0.0,0.8522237,0.87146074,0.019237041,0.8522237,0.86025083,0.008027136,0.8522237,0.93804246,0.08581877,0.8522237,0.8522237,0.0,,,,,,,0.8522237,0.91786385,0.06564015,,,,0.8522237,0.9384336,0.08620989,2
1,1,0,0,0,0,2,0,0,3,1.0,3.0,2.0,2.0,3.0,6.0,4.0,3.0,9.0,4.0,3.0,4.0,7.0,,,,0.92189294,0.93935263,0.01745969,0.92189294,0.92189294,0.0,0.92189294,0.92189294,0.0,0.92189294,0.9277137,0.005820751,0.92189294,0.9540185,0.032125533,0.92189294,0.9667703,0.04487735,0.92189294,0.92189294,0.0,0.92189294,0.92189294,0.0,0.92189294,0.96959645,0.047703505,0.92189294,0.9281526,0.00625968,0.92189294,0.95527977,0.033386827,0.92189294,0.82070553,-0.10118741,10
4,0,0,0,2,1,3,0,0,0,1.0,3.0,2.0,4.0,2.0,0.0,3.0,3.0,10.0,4.0,4.0,5.0,9.0,,,,0.95333326,0.9275925,-0.025740743,0.95333326,0.95333326,0.0,0.95333326,0.95333326,0.0,0.95333326,0.9617761,0.008442819,0.95333326,0.92721736,-0.026115894,0.95333326,0.98623705,0.03290379,0.95333326,0.95333326,0.0,0.95333326,0.95333326,0.0,,,,,,,,,,0.95333326,0.9072408,-0.04609245,4
0,1,3,0,1,3,0,6,0,7,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,0.5831595,0.62989646,0.046736956,0.5831595,0.6559971,0.07283759,0.5831595,0.5831595,0.0,0.5831595,0.5831595,0.0,0.5831595,0.84550744,0.26234794,0.5831595,0.604188,0.021028519,0.5831595,0.4580112,-0.1251483,0.5831595,0.5831595,0.0,0.5831595,0.5831595,0.0,0.5831595,0.5604323,-0.022727191,0.5831595,0.47602847,-0.107131034,0.5831595,0.5653224,-0.017837107,0.5831595,0.59563994,0.012480438,21
3,0,0,0,0,0,3,0,0,3,2.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,8.0,4.0,4.0,3.0,7.0,0.944196,0.9851618,0.040965796,,,,0.944196,0.944196,0.0,0.944196,0.944196,0.0,0.944196,0.93583095,-0.008365035,0.944196,0.9828243,0.03862834,0.944196,0.95521325,0.011017263,0.944196,0.944196,0.0,0.944196,0.944196,0.0,0.944196,0.79906785,-0.14512813,0.944196,0.9218526,-0.022343397,0.944196,0.95695573,0.012759745,0.944196,0.9727025,0.028506517,15
2,1,0,0,0,1,8,1,0,3,3.0,2.0,2.0,2.0,2.0,6.0,4.0,3.0,8.0,3.0,3.0,3.0,7.0,0.91548204,0.9623111,0.046829045,0.91548204,0.9335537,0.018071651,0.91548204,0.91548204,0.0,0.91548204,0.91548204,0.0,0.91548204,0.9196829,0.0042008758,0.91548204,0.9439143,0.02843225,0.91548204,0.9157145,0.00023245811,0.91548204,0.91548204,0.0,0.91548204,0.91548204,0.0,0.91548204,0.4513007,-0.46418133,0.91548204,0.93101466,0.015532613,0.91548204,0.7672323,-0.14824975,0.91548204,0.8966151,-0.018866956,17
1,1,3,0,0,2,2,1,2,2,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,8.0,4.0,4.0,3.0,8.0,0.25016186,0.6086819,0.35852006,0.25016186,0.41486022,0.16469836,0.25016186,0.25016186,0.0,0.25016186,0.25016186,0.0,0.25016186,0.25615254,0.005990684,0.25016186,0.43848035,0.18831849,0.25016186,0.24666752,-0.0034943372,0.25016186,0.25016186,0.0,0.25016186,0.25016186,0.0,,,,0.25016186,0.71080923,0.46064737,0.25016186,0.21832883,-0.031833023,0.25016186,0.27129745,0.021135598,16
1,1,1,0,0,3,1,6,0,1,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,4.0,4.0,3.0,7.0,,,,0.99134725,0.9939627,0.0026154518,0.99134725,0.99134725,0.0,0.99134725,0.99134725,0.0,0.99134725,0.98781186,-0.00353539,0.99134725,0.99402374,0.002676487,0.99134725,0.9906183,-0.0007289648,0.99134725,0.99134725,0.0,0.99134725,0.99134725,0.0,0.99134725,0.9727255,-0.018621743,0.99134725,0.9934321,0.0020848513,0.99134725,0.97854495,-0.012802303,0.99134725,0.9925881,0.0012408495,8
2,1,0,0,0,0,4,0,2,4,2.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,7.0,3.0,4.0,3.0,7.0,0.79246193,0.88574606,0.09328413,0.79246193,0.81848574,0.026023805,0.79246193,0.79246193,0.0,0.79246193,0.79246193,0.0,0.79246193,0.6214458,-0.17101616,0.79246193,0.7779436,-0.014518321,0.79246193,0.87078536,0.078323424,0.79246193,0.79246193,0.0,0.79246193,0.79246193,0.0,0.79246193,0.7151795,-0.07728243,0.79246193,0.5519842,-0.24047774,0.79246193,0.7996761,0.0072141886,0.79246193,0.8842827,0.09182078,3
1,0,2,0,0,0,5,0,0,3,1.0,4.0,4.0,4.0,4.0,10.0,3.0,4.0,7.0,4.0,4.0,4.0,7.0,,,,0.8892803,0.8821325,-0.0071478486,0.8892803,0.8892803,0.0,0.8892803,0.8892803,0.0,0.8892803,0.84543484,-0.043845475,0.8892803,0.88764757,-0.00163275,0.8892803,0.86596197,-0.02331835,0.8892803,0.8892803,0.0,,,,0.8892803,0.87914354,-0.010136783,0.8892803,0.80363446,-0.085645854,0.8892803,0.9205245,0.031244159,0.8892803,0.7582389,-0.13104141,10
4,0,0,0,0,1,5,1,1,4,4.0,3.0,2.0,2.0,2.0,7.0,2.0,3.0,6.0,3.0,2.0,2.0,6.0,0.9914186,0.9835919,-0.007826686,0.9914186,0.995884,0.004465401,0.9914186,0.9914186,0.0,0.9914186,0.9914186,0.0,0.9914186,0.98581284,-0.0056057572,0.9914186,0.994066,0.0026474,0.9914186,0.99153066,0.00011205673,0.9914186,0.9914186,0.0,0.9914186,0.9914186,0.0,0.9914186,0.9730521,-0.018366516,0.9914186,0.9927072,0.0012885928,0.9914186,0.99199754,0.0005789399,0.9914186,0.9899233,-0.0014953017,18
3,1,0,0,0,0,8,0,1,2,2.0,4.0,2.0,2.0,2.0,6.0,3.0,3.0,9.0,4.0,4.0,4.0,9.0,0.8619892,0.9613765,0.09938729,0.8619892,0.8659961,0.0040069222,0.8619892,0.8619892,0.0,0.8619892,0.8619892,0.0,0.8619892,0.8351419,-0.026847303,0.8619892,0.940659,0.07866979,0.8619892,0.8964704,0.034481227,0.8619892,0.8619892,0.0,0.8619892,0.8619892,0.0,0.8619892,0.85954046,-0.0024487376,0.8619892,0.8463517,-0.015637517,0.8619892,0.9162188,0.054229617,0.8619892,0.8401028,-0.021886408,1
